n	value	freq	max_freq	sample
1	0	1	1	1

2	0	1	1	1

3	0	1	1	3
3	1	1	1	3
3	2	1	1	3

4	1	3	4	12
4	2	4	4	12
4	3	4	4	12
4	4	1	4	12

5	0	3	18	60
5	1	1	18	60
5	2	8	18	60
5	3	13	18	60
5	4	18	18	60
5	5	11	18	60
5	6	5	18	60
5	7	1	18	60

6	1	3	82	360
6	2	6	82	360
6	3	33	82	360
6	4	48	82	360
6	5	82	82	360
6	6	76	82	360
6	7	58	82	360
6	8	32	82	360
6	9	15	82	360
6	10	6	82	360
6	11	1	82	360

7	1	3	409	2520
7	2	17	409	2520
7	3	50	409	2520
7	4	116	409	2520
7	5	216	409	2520
7	6	318	409	2520
7	7	406	409	2520
7	8	409	409	2520
7	9	361	409	2520
7	10	274	409	2520
7	11	182	409	2520
7	12	102	409	2520
7	13	47	409	2520
7	14	16	409	2520
7	15	3	409	2520

8	1	4	2774	20160
8	2	12	2774	20160
8	3	32	2774	20160
8	4	120	2774	20160
8	5	341	2774	20160
8	6	779	2774	20160
8	7	1433	2774	20160
8	8	2030	2774	20160
8	9	2553	2774	20160
8	10	2774	2774	20160
8	11	2709	2774	20160
8	12	2334	2774	20160
8	13	1872	2774	20160
8	14	1364	2774	20160
8	15	874	2774	20160
8	16	501	2774	20160
8	17	261	2774	20160
8	18	117	2774	20160
8	19	40	2774	20160
8	20	9	2774	20160
8	21	1	2774	20160

9	2	12	20398	181440
9	3	43	20398	181440
9	4	170	20398	181440
9	5	565	20398	181440
9	6	1488	20398	181440
9	7	3309	20398	181440
9	8	6092	20398	181440
9	9	9571	20398	181440
9	10	13303	20398	181440
9	11	16805	20398	181440
9	12	19233	20398	181440
9	13	20398	20398	181440
9	14	20025	20398	181440
9	15	18353	20398	181440
9	16	15633	20398	181440
9	17	12424	20398	181440
9	18	9193	20398	181440
9	19	6298	20398	181440
9	20	3993	20398	181440
9	21	2333	20398	181440
9	22	1242	20398	181440
9	23	597	20398	181440
9	24	251	20398	181440
9	25	85	20398	181440
9	26	21	20398	181440
9	27	3	20398	181440

10	3	12	177073	1814400
10	4	84	177073	1814400
10	5	398	177073	1814400
10	6	1422	177073	1814400
10	7	4231	177073	1814400
10	8	10416	177073	1814400
10	9	21969	177073	1814400
10	10	39453	177073	1814400
10	11	62662	177073	1814400
10	12	89697	177073	1814400
10	13	118028	177073	1814400
10	14	144017	177073	1814400
10	15	164078	177073	1814400
10	16	175541	177073	1814400
10	17	177073	177073	1814400
10	18	168804	177073	1814400
10	19	152162	177073	1814400
10	20	129962	177073	1814400
10	21	105616	177073	1814400
10	22	81700	177073	1814400
10	23	60091	177073	1814400
10	24	41968	177073	1814400
10	25	27730	177073	1814400
10	26	17265	177073	1814400
10	27	10082	177073	1814400
10	28	5453	177073	1814400
10	29	2688	177073	1814400
10	30	1184	177073	1814400
10	31	448	177073	1814400
10	32	135	177073	1814400
10	33	28	177073	1814400
10	34	3	177073	1814400

11	3	5	1667976	19958400
