size	value	prob

3	0	0.5
3	1	1

4	1	0.272727
4	2	0.636364
4	3	1

5	0	0.0508475
5	1	0.0677966
5	2	0.20339
5	3	0.423729
5	4	0.728814
5	5	0.915254
5	6	1

6	1	0.00835655
6	2	0.0250696
6	3	0.116992
6	4	0.250696
6	5	0.479109
6	6	0.690808
6	7	0.852368
6	8	0.941504
6	9	0.983287
6	10	1

7	1	0.0011919
7	2	0.00794597
7	3	0.0278109
7	4	0.0738975
7	5	0.159714
7	6	0.286055
7	7	0.447358
7	8	0.609853
7	9	0.753278
7	10	0.862137
7	11	0.934446
7	12	0.97497
7	13	0.993643
7	14	1

8	1	0.000198423
8	2	0.00079369
8	3	0.00238107
8	4	0.00833375
8	5	0.0252493
8	6	0.0638921
8	7	0.134977
8	8	0.235676
8	9	0.36232
8	10	0.499926
8	11	0.634307
8	12	0.750087
8	13	0.842949
8	14	0.910611
8	15	0.953966
8	16	0.978818
8	17	0.991765
8	18	0.997569
8	19	0.999554
8	20	1

9	2	6.61387e-05
9	3	0.000303136
9	4	0.0012401
9	5	0.00435413
9	6	0.0125553
9	7	0.0307931
9	8	0.0643695
9	9	0.117121
9	10	0.190441
9	11	0.283062
9	12	0.389066
9	13	0.501491
9	14	0.61186
9	15	0.713013
9	16	0.799175
9	17	0.867651
9	18	0.918319
9	19	0.953031
9	20	0.975038
9	21	0.987897
9	22	0.994742
9	23	0.998032
9	24	0.999416
9	25	0.999884
9	26	1

10	3	6.61377e-06
10	4	5.29101e-05
10	5	0.000272267
10	6	0.001056
10	7	0.0033879
10	8	0.00912865
10	9	0.0212368
10	10	0.0429812
10	11	0.0775172
10	12	0.126953
10	13	0.192004
10	14	0.271379
10	15	0.36181
10	16	0.458559
10	17	0.556152
10	18	0.649188
10	19	0.733052
10	20	0.80468
10	21	0.86289
10	22	0.907919
10	23	0.941038
10	24	0.964168
10	25	0.979452
10	26	0.988967
10	27	0.994524
10	28	0.997529
10	29	0.999011
10	30	0.999663
10	31	0.99991
10	32	0.999985
10	33	1

11	3	2.50521e-07
11	4	3.40709e-06
11	5	2.18955e-05
11	6	0.000100359
11	7	0.00037513
11	8	0.00118988
11	9	0.00324244
11	10	0.00771119
11	11	0.0162299
11	12	0.0307123
11	13	0.0531663
11	14	0.0854096
11	15	0.128672
11	16	0.183293
11	17	0.248603
11	18	0.322931
11	19	0.403551
11	20	0.487123
11	21	0.570128
11	22	0.64924
11	23	0.721699
11	24	0.785587
11	25	0.839835
11	26	0.884167
11	27	0.919034
11	28	0.945416
11	29	0.964596
11	30	0.977968
11	31	0.986891
11	32	0.992579
11	33	0.996031
11	34	0.998015
11	35	0.999083
11	36	0.999617
11	37	0.999859
11	38	0.999956
11	39	0.999989
11	40	0.999998
11	41	1

12	4	7.51563e-08
12	5	5.42796e-07
12	6	3.04383e-06
12	7	1.42546e-05
12	8	6.0647e-05
12	9	0.000222212
12	10	0.00068867
12	11	0.00183389
12	12	0.0042742
12	13	0.00890103
12	14	0.0168476
12	15	0.0294427
12	16	0.0480661
12	17	0.0740193
12	18	0.108301
12	19	0.151458
12	20	0.203419
12	21	0.263435
12	22	0.330082
12	23	0.401391
12	24	0.475049
12	25	0.548626
12	26	0.619789
12	27	0.686502
12	28	0.747168
12	29	0.800715
12	30	0.846602
12	31	0.88479
12	32	0.915656
12	33	0.939887
12	34	0.958351
12	35	0.971995
12	36	0.981762
12	37	0.988525
12	38	0.993047
12	39	0.995959
12	40	0.997757
12	41	0.998819
12	42	0.999414
12	43	0.999729
12	44	0.999885
12	45	0.999956
12	46	0.999985
12	47	0.999996
12	48	0.999999
12	49	1
12	50	1

13	5	9.31425e-09
13	6	8.704e-08
13	7	6.60027e-07
13	8	3.60333e-06
13	9	1.59428e-05
13	10	5.88207e-05
13	11	0.000185162
13	12	0.000506583
13	13	0.00122686
13	14	0.00267283
13	15	0.00531693
13	16	0.00978749
13	17	0.0168617
13	18	0.0274275
13	19	0.042428
13	20	0.0627735
13	21	0.0892436
13	22	0.12238
13	23	0.1624
13	24	0.209131
13	25	0.262
13	26	0.320042
13	27	0.381966
13	28	0.44625
13	29	0.511248
13	30	0.575323
13	31	0.636951
13	32	0.694817
13	33	0.74788
13	34	0.795419
13	35	0.837035
13	36	0.872638
13	37	0.902405
13	38	0.926725
13	39	0.946137
13	40	0.961271
13	41	0.972789
13	42	0.981341
13	43	0.987532
13	44	0.991895
13	45	0.994885
13	46	0.996874
13	47	0.998156
13	48	0.998954
13	49	0.999432
13	50	0.999707
13	51	0.999857
13	52	0.999935
13	53	0.999973
13	54	0.99999
13	55	0.999997
13	56	0.999999
13	57	1
13	58	1
13	59	1

