n	value	freq	max_freq	sample


3	0	1	1	2
3	1	1	1	2

4	1	3	4	11
4	2	4	4	11
4	3	4	4	11

5	0	3	18	59
5	1	1	18	59
5	2	8	18	59
5	3	13	18	59
5	4	18	18	59
5	5	11	18	59
5	6	5	18	59

6	1	3	82	359
6	2	6	82	359
6	3	33	82	359
6	4	48	82	359
6	5	82	82	359
6	6	76	82	359
6	7	58	82	359
6	8	32	82	359
6	9	15	82	359
6	10	6	82	359

7	1	3	409	2517
7	2	17	409	2517
7	3	50	409	2517
7	4	116	409	2517
7	5	216	409	2517
7	6	318	409	2517
7	7	406	409	2517
7	8	409	409	2517
7	9	361	409	2517
7	10	274	409	2517
7	11	182	409	2517
7	12	102	409	2517
7	13	47	409	2517
7	14	16	409	2517

8	1	4	2774	20159
8	2	12	2774	20159
8	3	32	2774	20159
8	4	120	2774	20159
8	5	341	2774	20159
8	6	779	2774	20159
8	7	1433	2774	20159
8	8	2030	2774	20159
8	9	2553	2774	20159
8	10	2774	2774	20159
8	11	2709	2774	20159
8	12	2334	2774	20159
8	13	1872	2774	20159
8	14	1364	2774	20159
8	15	874	2774	20159
8	16	501	2774	20159
8	17	261	2774	20159
8	18	117	2774	20159
8	19	40	2774	20159
8	20	9	2774	20159

9	2	12	20398	181437
9	3	43	20398	181437
9	4	170	20398	181437
9	5	565	20398	181437
9	6	1488	20398	181437
9	7	3309	20398	181437
9	8	6092	20398	181437
9	9	9571	20398	181437
9	10	13303	20398	181437
9	11	16805	20398	181437
9	12	19233	20398	181437
9	13	20398	20398	181437
9	14	20025	20398	181437
9	15	18353	20398	181437
9	16	15633	20398	181437
9	17	12424	20398	181437
9	18	9193	20398	181437
9	19	6298	20398	181437
9	20	3993	20398	181437
9	21	2333	20398	181437
9	22	1242	20398	181437
9	23	597	20398	181437
9	24	251	20398	181437
9	25	85	20398	181437
9	26	21	20398	181437

10	3	12	177073	1814397
10	4	84	177073	1814397
10	5	398	177073	1814397
10	6	1422	177073	1814397
10	7	4231	177073	1814397
10	8	10416	177073	1814397
10	9	21969	177073	1814397
10	10	39453	177073	1814397
10	11	62662	177073	1814397
10	12	89697	177073	1814397
10	13	118028	177073	1814397
10	14	144017	177073	1814397
10	15	164078	177073	1814397
10	16	175541	177073	1814397
10	17	177073	177073	1814397
10	18	168804	177073	1814397
10	19	152162	177073	1814397
10	20	129962	177073	1814397
10	21	105616	177073	1814397
10	22	81700	177073	1814397
10	23	60091	177073	1814397
10	24	41968	177073	1814397
10	25	27730	177073	1814397
10	26	17265	177073	1814397
10	27	10082	177073	1814397
10	28	5453	177073	1814397
10	29	2688	177073	1814397
10	30	1184	177073	1814397
10	31	448	177073	1814397
10	32	135	177073	1814397
10	33	28	177073	1814397

11	3	5	1667976	19958397
11	4	63	1667976	19958397
11	5	369	1667976	19958397
11	6	1566	1667976	19958397
11	7	5484	1667976	19958397
11	8	16261	1667976	19958397
11	9	40966	1667976	19958397
11	10	89189	1667976	19958397
11	11	170020	1667976	19958397
11	12	289046	1667976	19958397
11	13	448145	1667976	19958397
11	14	643524	1667976	19958397
11	15	863455	1667976	19958397
11	16	1090134	1667976	19958397
