size	value	prob

3	0	1

4	0	0.636364
4	1	1

5	0	0.363636
5	1	1

6	0	0.250704
6	1	0.549296
6	2	0.904225
6	3	1

7	0	0.0887622
7	1	0.330619
7	2	0.70114
7	3	0.899023
7	4	1

8	0	0.0820592
8	1	0.220661
8	2	0.498461
8	3	0.739525
8	4	0.907963
8	5	0.976668
8	6	0.995631
8	7	1

9	0	0.0224665
9	1	0.101414
9	2	0.292897
9	3	0.514748
9	4	0.728047
9	5	0.878012
9	6	0.954736
9	7	0.989672
9	8	1

10	0	0.0226035
10	1	0.0694441
10	2	0.187021
10	3	0.364814
10	4	0.570225
10	5	0.747048
10	6	0.869607
10	7	0.9439
10	8	0.981789
10	9	0.995213
10	10	0.999224
10	11	1

11	0	0.00496075
11	1	0.0250073
11	2	0.0871762
11	3	0.200505
11	4	0.36113
11	5	0.53817
11	6	0.697817
11	7	0.825904
11	8	0.913799
11	9	0.962016
11	10	0.985558
11	11	0.995521
11	12	0.999139
11	13	1

12	0	0.00543814
12	1	0.0183598
12	2	0.0534212
12	3	0.125705
12	4	0.241879
12	5	0.388341
12	6	0.543492
12	7	0.687385
12	8	0.806967
12	9	0.890955
12	10	0.944343
12	11	0.974701
12	12	0.990175
12	13	0.996762
12	14	0.999076
12	15	0.999771
12	16	0.999959
12	17	1

13	0	0.000970539
13	1	0.00522909
13	2	0.020161
13	3	0.0561674
13	4	0.123405
13	5	0.223871
13	6	0.350158
13	7	0.490094
13	8	0.628452
13	9	0.747153
13	10	0.839949
13	11	0.90624
13	12	0.949885
13	13	0.975755
13	14	0.989331
13	15	0.995794
13	16	0.998589
13	17	0.999636
13	18	0.99994
13	19	1

14	0	0.00118064
14	1	0.00430637
14	2	0.0128369
14	3	0.0333865
14	4	0.0745413
14	5	0.141452
14	6	0.23465
14	7	0.34886
14	8	0.475287
14	9	0.599711
14	10	0.71189
14	11	0.804812
14	12	0.876196
14	13	0.926481
14	14	0.959146
14	15	0.978831
14	16	0.989915
14	17	0.995645
14	18	0.998329
14	19	0.99943
14	20	0.999835
14	21	0.999962
14	22	0.999994
14	23	1

