n	value	freq	max_freq	sample
1	0	1	1	1

2	0	1	1	1

3	0	1	2	3
3	1	2	2	3

4	0	7	7	12
4	1	4	7	12
4	2	1	7	12

5	0	18	24	60
5	1	24	24	60
5	2	18	24	60

6	0	111	146	360
6	1	146	146	360
6	2	84	146	360
6	3	18	146	360
6	4	1	146	360

7	0	432	900	2520
7	1	900	900	2520
7	2	852	900	2520
7	3	300	900	2520
7	4	36	900	2520

8	0	3278	6824	20160
8	1	6824	6824	20160
8	2	6502	6824	20160
8	3	2912	6824	20160
8	4	586	6824	20160
8	5	56	6824	20160
8	6	2	6824	20160

9	0	17564	62532	181440
9	1	48024	62532	181440
9	2	62532	62532	181440
9	3	39728	62532	181440
9	4	11844	62532	181440
9	5	1656	62532	181440
9	6	92	62532	181440

10	0	154300	593308	1814400
10	1	448256	593308	1814400
10	2	593308	593308	1814400
10	3	420172	593308	1814400
10	4	161576	593308	1814400
10	5	33016	593308	1814400
10	6	3580	593308	1814400
10	7	188	593308	1814400
10	8	4	593308	1814400

11	0	1040256	6055260	19958400
11	1	3706536	6055260	19958400
11	2	6055260	6055260	19958400
11	3	5493696	6055260	19958400
11	4	2767380	6055260	19958400
11	5	768264	6055260	19958400
11	6	117444	6055260	19958400
11	7	9360	6055260	19958400
11	8	204	6055260	19958400

12	0	10658553	68111633	239500800
12	1	39822110	68111633	239500800
12	2	68111633	68111633	239500800
12	3	66218420	68111633	239500800
12	4	38336558	68111633	239500800
12	5	13272848	68111633	239500800
12	6	2731670	68111633	239500800
12	7	326732	68111633	239500800
12	8	21545	68111633	239500800
12	9	722	68111633	239500800
12	10	9	68111633	239500800

13	0	87349872	890411712	3113510400
13	1	379829408	890411712	3113510400
13	2	763639752	890411712	3113510400
13	3	890411712	890411712	3113510400
13	4	632418168	890411712	3113510400
13	5	274472976	890411712	3113510400
13	6	72610872	890411712	3113510400
13	7	11639328	890411712	3113510400
13	8	1086168	890411712	3113510400
13	9	51312	890411712	3113510400
13	10	832	890411712	3113510400

