n	value	freq	max_freq	sample


3	0	1	1	1

4	0	7	7	11
4	1	4	7	11

5	0	18	24	42
5	1	24	24	42

6	0	111	146	359
6	1	146	146	359
6	2	84	146	359
6	3	18	146	359

7	0	432	900	2484
7	1	900	900	2484
7	2	852	900	2484
7	3	300	900	2484

8	0	3278	6824	20158
8	1	6824	6824	20158
8	2	6502	6824	20158
8	3	2912	6824	20158
8	4	586	6824	20158
8	5	56	6824	20158

9	0	17564	62532	181348
9	1	48024	62532	181348
9	2	62532	62532	181348
9	3	39728	62532	181348
9	4	11844	62532	181348
9	5	1656	62532	181348

10	0	154300	593308	1814396
10	1	448256	593308	1814396
10	2	593308	593308	1814396
10	3	420172	593308	1814396
10	4	161576	593308	1814396
10	5	33016	593308	1814396
10	6	3580	593308	1814396
10	7	188	593308	1814396

11	0	1040256	6055260	19958196
11	1	3706536	6055260	19958196
11	2	6055260	6055260	19958196
11	3	5493696	6055260	19958196
11	4	2767380	6055260	19958196
11	5	768264	6055260	19958196
11	6	117444	6055260	19958196
11	7	9360	6055260	19958196

12	0	10658553	68111633	239500791
12	1	39822110	68111633	239500791
12	2	68111633	68111633	239500791
12	3	66218420	68111633	239500791
12	4	38336558	68111633	239500791
12	5	13272848	68111633	239500791
12	6	2731670	68111633	239500791
12	7	326732	68111633	239500791
12	8	21545	68111633	239500791
12	9	722	68111633	239500791

13	0	87349872	890411712	3113509568
13	1	379829408	890411712	3113509568
13	2	763639752	890411712	3113509568
13	3	890411712	890411712	3113509568
13	4	632418168	890411712	3113509568
13	5	274472976	890411712	3113509568
13	6	72610872	890411712	3113509568
13	7	11639328	890411712	3113509568
13	8	1086168	890411712	3113509568
13	9	51312	890411712	3113509568

14	0	1013725569	12109395682	43589145577
14	1	4642920050	12109395682	43589145577
14	2	9788083248	12109395682	43589145577
14	3	12109395682	12109395682	43589145577
14	4	9438468669	12109395682	43589145577
14	5	4721758548	12109395682	43589145577
14	6	1518862728	12109395682	43589145577
14	7	312372804	12109395682	43589145577
14	8	40283403	12109395682	43589145577
14	9	3133626	12109395682	43589145577
14	10	138088	12109395682	43589145577
14	11	3162	12109395682	43589145577

