n	value	freq	max_freq	sample
1	0	1	1	1

2	0	1	1	1

3	0	1	2	3
3	1	2	2	3

4	0	7	7	12
4	1	4	7	12
4	2	1	7	12

5	0	18	28	60
5	1	28	28	60
5	2	14	28	60

6	0	111	162	360
6	1	162	162	360
6	2	72	162	360
6	3	14	162	360
6	4	1	162	360

7	0	432	1088	2520
7	1	1088	1088	2520
7	2	790	1088	2520
7	3	196	1088	2520
7	4	14	1088	2520

8	0	3278	7828	20160
8	1	7828	7828	20160
8	2	6661	7828	20160
8	3	2072	7828	20160
8	4	304	7828	20160
8	5	16	7828	20160
8	6	1	7828	20160

9	0	17564	68296	181440
9	1	58792	68296	181440
9	2	68296	68296	181440
9	3	30486	68296	181440
9	4	5834	68296	181440
9	5	458	68296	181440
9	6	10	68296	181440

10	0	154300	663841	1814400
10	1	530936	663841	1814400
10	2	663841	663841	1814400
10	3	361818	663841	1814400
10	4	91703	663841	1814400
10	5	11104	663841	1814400
10	6	683	663841	1814400
10	7	14	663841	1814400
10	8	1	663841	1814400

11	0	1040256	7230596	19958400
11	1	4581542	7230596	19958400
11	2	7230596	7230596	19958400
11	3	5106734	7230596	19958400
11	4	1701224	7230596	19958400
11	5	275800	7230596	19958400
11	6	21458	7230596	19958400
11	7	780	7230596	19958400
11	8	10	7230596	19958400

12	0	10658553	82019058	239500800
12	1	48096758	82019058	239500800
12	2	82019058	82019058	239500800
12	3	65679014	82019058	239500800
12	4	26721321	82019058	239500800
12	5	5658622	82019058	239500800
12	6	629501	82019058	239500800
12	7	36878	82019058	239500800
12	8	1078	82019058	239500800
12	9	16	82019058	239500800
12	10	1	82019058	239500800

13	0	87349872	970257768	3113510400
13	1	473511148	970257768	3113510400
13	2	970257768	970257768	3113510400
13	3	950691690	970257768	3113510400
13	4	481677500	970257768	3113510400
13	5	129747578	970257768	3113510400
13	6	18766638	970257768	3113510400
13	7	1449382	970257768	3113510400
13	8	57852	970257768	3113510400
13	9	962	970257768	3113510400
13	10	10	970257768	3113510400

