size	value	prob

3	0	1

4	0	0.636364
4	1	1

5	0	0.391304
5	1	1

6	0	0.309192
6	1	0.760446
6	2	0.961003
6	3	1

7	0	0.172386
7	1	0.606544
7	2	0.921788
7	3	1

8	0	0.162607
8	1	0.55092
8	2	0.881343
8	3	0.984126
8	4	0.999206
8	5	1

9	0	0.0968087
9	1	0.420857
9	2	0.797288
9	3	0.96532
9	4	0.997476
9	5	1

10	0	0.0850419
10	1	0.377666
10	2	0.743539
10	3	0.942954
10	4	0.993496
10	5	0.999616
10	6	0.999992
10	7	1

11	0	0.0521212
11	1	0.281676
11	2	0.643959
11	3	0.899828
11	4	0.985067
11	5	0.998886
11	6	0.999961
11	7	1

12	0	0.0445032
12	1	0.245324
12	2	0.587782
12	3	0.862015
12	4	0.973586
12	5	0.997213
12	6	0.999841
12	7	0.999995
12	8	1
12	9	1

13	0	0.0280551
13	1	0.180138
13	2	0.491766
13	3	0.79711
13	4	0.951816
13	5	0.993488
13	6	0.999516
13	7	0.999981
13	8	1
13	9	1

14	0	0.0232564
14	1	0.153975
14	2	0.439318
14	3	0.748178
14	4	0.928801
14	5	0.987866
14	6	0.998789
14	7	0.999931
14	8	0.999998
14	9	1
14	10	1
14	11	1

