n	value	freq	max_freq	sample


3	0	1	1	1

4	0	7	7	11
4	1	4	7	11

5	0	18	28	46
5	1	28	28	46

6	0	111	162	359
6	1	162	162	359
6	2	72	162	359
6	3	14	162	359

7	0	432	1088	2506
7	1	1088	1088	2506
7	2	790	1088	2506
7	3	196	1088	2506

8	0	3278	7828	20159
8	1	7828	7828	20159
8	2	6661	7828	20159
8	3	2072	7828	20159
8	4	304	7828	20159
8	5	16	7828	20159

9	0	17564	68296	181430
9	1	58792	68296	181430
9	2	68296	68296	181430
9	3	30486	68296	181430
9	4	5834	68296	181430
9	5	458	68296	181430

10	0	154300	663841	1814399
10	1	530936	663841	1814399
10	2	663841	663841	1814399
10	3	361818	663841	1814399
10	4	91703	663841	1814399
10	5	11104	663841	1814399
10	6	683	663841	1814399
10	7	14	663841	1814399

11	0	1040256	7230596	19958390
11	1	4581542	7230596	19958390
11	2	7230596	7230596	19958390
11	3	5106734	7230596	19958390
11	4	1701224	7230596	19958390
11	5	275800	7230596	19958390
11	6	21458	7230596	19958390
11	7	780	7230596	19958390

12	0	10658553	82019058	239500799
12	1	48096758	82019058	239500799
12	2	82019058	82019058	239500799
12	3	65679014	82019058	239500799
12	4	26721321	82019058	239500799
12	5	5658622	82019058	239500799
12	6	629501	82019058	239500799
12	7	36878	82019058	239500799
12	8	1078	82019058	239500799
12	9	16	82019058	239500799

