n	value	freq	max_freq	sample
1	0	1	1	1

2	0	1	1	1

3	0	1	2	3
3	1	2	2	3

4	0	7	7	12
4	1	5	7	12

5	0	18	38	60
5	1	38	38	60
5	2	4	38	60

6	0	111	229	360
6	1	229	229	360
6	2	20	229	360

7	0	432	1752	2520
7	1	1752	1752	2520
7	2	336	1752	2520

8	0	3278	14386	20160
8	1	14386	14386	20160
8	2	2496	14386	20160

9	0	17564	129868	181440
9	1	129868	129868	181440
9	2	32808	129868	181440
9	3	1200	129868	181440

10	0	154300	1322980	1814400
10	1	1322980	1322980	1814400
10	2	327280	1322980	1814400
10	3	9840	1322980	1814400

11	0	1040256	14098492	19958400
11	1	14098492	14098492	19958400
11	2	4570316	14098492	19958400
11	3	249336	14098492	19958400

12	0	10658553	170362679	239500800
12	1	170362679	170362679	239500800
12	2	55686148	170362679	239500800
12	3	2793420	170362679	239500800

13	0	87349872	2115389136	3113510400
13	1	2115389136	2115389136	3113510400
13	2	849570324	2115389136	3113510400
13	3	60555948	2115389136	3113510400
13	4	645120	2115389136	3113510400

