n	value	freq	max_freq	sample


3	0	1	1	1

4	0	7	7	7

5	0	18	38	56
5	1	38	38	56

6	0	111	229	340
6	1	229	229	340

7	0	432	1752	2184
7	1	1752	1752	2184

8	0	3278	14386	17664
8	1	14386	14386	17664

9	0	17564	129868	180240
9	1	129868	129868	180240
9	2	32808	129868	180240

10	0	154300	1322980	1804560
10	1	1322980	1322980	1804560
10	2	327280	1322980	1804560

11	0	1040256	14098492	19709064
11	1	14098492	14098492	19709064
11	2	4570316	14098492	19709064

12	0	10658553	170362679	236707380
12	1	170362679	170362679	236707380
12	2	55686148	170362679	236707380

