n	value	freq	max_freq	sample
1	0	1	1	1

2	0	1	1	1

3	0	1	2	3
3	1	0	2	3
3	2	2	2	3

4	0	7	7	12
4	1	0	7	12
4	2	4	7	12
4	3	0	7	12
4	4	1	7	12

5	0	18	24	60
5	1	0	24	60
5	2	24	24	60
5	3	12	24	60
5	4	6	24	60

6	0	111	146	360
6	1	0	146	360
6	2	146	146	360
6	3	32	146	360
6	4	52	146	360
6	5	18	146	360
6	6	1	146	360

7	0	432	900	2520
7	1	0	900	2520
7	2	900	900	2520
7	3	394	900	2520
7	4	530	900	2520
7	5	200	900	2520
7	6	58	900	2520
7	7	6	900	2520

8	0	3278	6824	20160
8	1	0	6824	20160
8	2	6824	6824	20160
8	3	2078	6824	20160
8	4	4680	6824	20160
8	5	2136	6824	20160
8	6	983	6824	20160
8	7	144	6824	20160
8	8	37	6824	20160

9	0	17564	48338	181440
9	1	0	48338	181440
9	2	48024	48338	181440
9	3	20970	48338	181440
9	4	48338	48338	181440
9	5	23826	48338	181440
9	6	16334	48338	181440
9	7	5098	48338	181440
9	8	1200	48338	181440
9	9	86	48338	181440

10	0	154300	469374	1814400
10	1	0	469374	1814400
10	2	448256	469374	1814400
10	3	162494	469374	1814400
10	4	469374	469374	1814400
10	5	244726	469374	1814400
10	6	218184	469374	1814400
10	7	82094	469374	1814400
10	8	28653	469374	1814400
10	9	5904	469374	1814400
10	10	415	469374	1814400

11	0	1040256	5011638	19958400
11	1	0	5011638	19958400
11	2	3706536	5011638	19958400
11	3	1637286	5011638	19958400
11	4	5011638	5011638	19958400
11	5	3036360	5011638	19958400
11	6	3131560	5011638	19958400
11	7	1478232	5011638	19958400
11	8	692872	5011638	19958400
11	9	183992	5011638	19958400
11	10	37278	5011638	19958400
11	11	2390	5011638	19958400

12	0	10658553	57151775	239500800
12	1	0	57151775	239500800
12	2	39822110	57151775	239500800
12	3	15719694	57151775	239500800
12	4	57151775	57151775	239500800
12	5	34298014	57151775	239500800
12	6	41367825	57151775	239500800
12	7	21886456	57151775	239500800
12	8	12672435	57151775	239500800
12	9	4460108	57151775	239500800
12	10	1265700	57151775	239500800
12	11	178026	57151775	239500800
12	12	20104	57151775	239500800

13	0	87349872	661140388	3113510400
13	1	0	661140388	3113510400
13	2	379829408	661140388	3113510400
13	3	170929862	661140388	3113510400
13	4	661140388	661140388	3113510400
13	5	444814762	661140388	3113510400
13	6	594422580	661140388	3113510400
13	7	368433558	661140388	3113510400
13	8	249548032	661140388	3113510400
13	9	107418312	661140388	3113510400
13	10	38903846	661140388	3113510400
13	11	9245692	661140388	3113510400
13	12	1377030	661140388	3113510400
13	13	97058	661140388	3113510400

