n	value	freq	max_freq	sample
1	0	1	1	1


3	0	1	2	3
3	1	2	2	3

4	0	2	6	12
4	1	3	6	12
4	2	6	6	12
4	3	1	6	12

5	0	5	29	60
5	1	14	29	60
5	2	29	29	60
5	3	12	29	60

6	0	8	121	360
6	1	32	121	360
6	2	121	121	360
6	3	112	121	360
6	4	62	121	360
6	5	24	121	360
6	6	1	121	360

7	0	38	744	2520
7	1	138	744	2520
7	2	528	744	2520
7	3	744	744	2520
7	4	618	744	2520
7	5	366	744	2520
7	6	88	744	2520

8	0	72	4929	20160
8	1	343	4929	20160
8	2	1830	4929	20160
8	3	3573	4929	20160
8	4	4929	4929	20160
8	5	4755	4929	20160
8	6	2837	4929	20160
8	7	1327	4929	20160
8	8	411	4929	20160
8	9	82	4929	20160
8	10	1	4929	20160

9	0	397	41242	181440
9	1	1804	41242	181440
9	2	8295	41242	181440
9	3	20416	41242	181440
9	4	34335	41242	181440
9	5	41242	41242	181440
9	6	35257	41242	181440
9	7	22292	41242	181440
9	8	12260	41242	181440
9	9	4278	41242	181440
9	10	864	41242	181440

10	0	792	348268	1814400
10	1	4664	348268	1814400
10	2	26934	348268	1814400
10	3	84192	348268	1814400
10	4	184907	348268	1814400
10	5	296396	348268	1814400
10	6	348268	348268	1814400
10	7	320853	348268	1814400
10	8	252058	348268	1814400
10	9	162688	348268	1814400
10	10	83074	348268	1814400
10	11	34562	348268	1814400
10	12	12123	348268	1814400
10	13	2596	348268	1814400
10	14	292	348268	1814400
10	15	1	348268	1814400

11	0	5370	3421780	19958400
11	1	28736	3421780	19958400
11	2	139188	3421780	19958400
11	3	469152	3421780	19958400
11	4	1157240	3421780	19958400
11	5	2133328	3421780	19958400
11	6	3009686	3421780	19958400
11	7	3421780	3421780	19958400
11	8	3286998	3421780	19958400
11	9	2651980	3421780	19958400
11	10	1802868	3421780	19958400
11	11	1035964	3421780	19958400
11	12	522584	3421780	19958400
11	13	219748	3421780	19958400
11	14	62434	3421780	19958400
11	15	11344	3421780	19958400

12	0	11404	36590738	239500800
12	1	75482	36590738	239500800
12	2	440459	36590738	239500800
12	3	1786583	36590738	239500800
12	4	5352933	36590738	239500800
12	5	12081811	36590738	239500800
12	6	21039220	36590738	239500800
12	7	29689772	36590738	239500800
12	8	35648321	36590738	239500800
12	9	36590738	36590738	239500800
12	10	32346506	36590738	239500800
12	11	24990688	36590738	239500800
12	12	17546665	36590738	239500800
12	13	11075248	36590738	239500800
12	14	6146800	36590738	239500800
12	15	2938908	36590738	239500800
12	16	1209407	36590738	239500800
12	17	401712	36590738	239500800
12	18	109351	36590738	239500800
12	19	17697	36590738	239500800
12	20	1094	36590738	239500800
12	21	1	36590738	239500800

13	0	90196	434585003	3113510400
13	1	543720	434585003	3113510400
13	2	2692149	434585003	3113510400
13	3	10637108	434585003	3113510400
13	4	33172911	434585003	3113510400
13	5	81066090	434585003	3113510400
13	6	158283734	434585003	3113510400
13	7	254995566	434585003	3113510400
13	8	351581360	434585003	3113510400
13	9	418300966	434585003	3113510400
13	10	434585003	434585003	3113510400
13	11	400143468	434585003	3113510400
13	12	332907197	434585003	3113510400
13	13	251802510	434585003	3113510400
13	14	171942256	434585003	3113510400
13	15	105497102	434585003	3113510400
13	16	58169274	434585003	3113510400
13	17	28764218	434585003	3113510400
13	18	12521882	434585003	3113510400
13	19	4454452	434585003	3113510400
13	20	1166614	434585003	3113510400
13	21	192624	434585003	3113510400

