size	value	prob

3	0	0.8
3	1	1

4	0	0.304348
4	1	0.565217
4	2	0.826087
4	3	1

5	0	0.134454
5	1	0.260504
5	2	0.478992
5	3	0.689076
5	4	0.865546
5	5	0.957983
5	6	1

6	0	0.0431154
6	1	0.107093
6	2	0.214186
6	3	0.369958
6	4	0.536857
6	5	0.709318
6	6	0.840056
6	7	0.926287
6	8	0.970793
6	9	0.991655
6	10	1

7	0	0.0123089
7	1	0.0353385
7	2	0.0821918
7	3	0.158825
7	4	0.268215
7	5	0.402422
7	6	0.543578
7	7	0.677189
7	8	0.786579
7	9	0.870955
7	10	0.930316
7	11	0.967242
7	12	0.987493
7	13	0.996824
7	14	1

8	0	0.00317468
8	1	0.0101937
8	2	0.0261911
8	3	0.0563506
8	4	0.104963
8	5	0.176145
8	6	0.267492
8	7	0.375406
8	8	0.489943
8	9	0.603562
8	10	0.708128
8	11	0.797465
8	12	0.867507
8	13	0.919393
8	14	0.954984
8	15	0.976984
8	16	0.989409
8	17	0.995883
8	18	0.998785
8	19	0.999777
8	20	1

9	0	0.000697206
9	1	0.00257112
9	2	0.00722283
9	3	0.0169589
9	4	0.0345158
9	5	0.0635146
9	6	0.106466
9	7	0.165447
9	8	0.24001
9	9	0.326923
9	10	0.422047
9	11	0.519923
9	12	0.614881
9	13	0.702356
9	14	0.779137
9	15	0.843153
9	16	0.893675
9	17	0.931594
9	18	0.958498
9	19	0.97638
9	20	0.987505
9	21	0.993948
9	22	0.997371
9	23	0.999016
9	24	0.999708
9	25	0.999942
9	26	1

10	0	0.000142747
10	1	0.000575122
10	2	0.00175816
10	3	0.00444693
10	4	0.00977679
10	5	0.0193982
10	6	0.0351902
10	7	0.0593957
10	8	0.0937815
10	9	0.139479
10	10	0.196532
10	11	0.263984
10	12	0.339821
10	13	0.421251
10	14	0.505136
10	15	0.587979
10	16	0.666506
10	17	0.738031
10	18	0.8006
10	19	0.853108
10	20	0.895404
10	21	0.928171
10	22	0.952571
10	23	0.970007
10	24	0.981931
10	25	0.989692
10	26	0.994479
10	27	0.997262
10	28	0.998765
10	29	0.999505
10	30	0.999832
10	31	0.999955
10	32	0.999992
10	33	1

11	0	2.62045e-05
11	1	0.000116292
11	2	0.000380091
11	3	0.00103127
11	4	0.00242151
11	5	0.00513821
11	6	0.00998514
11	7	0.0180572
11	8	0.0306529
11	9	0.0491236
11	10	0.0747634
11	11	0.108525
11	12	0.150943
11	13	0.201963
11	14	0.260947
11	15	0.326594
11	16	0.397073
11	17	0.470178
11	18	0.543522
11	19	0.614731
11	20	0.681728
11	21	0.742877
11	22	0.797051
11	23	0.843659
11	24	0.882618
11	25	0.914235
11	26	0.939115
11	27	0.958084
11	28	0.972079
11	29	0.982051
11	30	0.988901
11	31	0.993423
11	32	0.996285
11	33	0.998015
11	34	0.999007
11	35	0.999542
11	36	0.999808
11	37	0.999929
11	38	0.999978
11	39	0.999995
11	40	0.999999
11	41	1

12	0	4.39665e-06
12	1	2.13319e-05
12	2	7.46782e-05
12	3	0.000214939
12	4	0.000536286
12	5	0.00120619
12	6	0.00248696
12	7	0.00477447
12	8	0.00861172
12	9	0.0146936
12	10	0.0238447
12	11	0.0369681
12	12	0.0549612
12	13	0.0786429
12	14	0.108651
12	15	0.145355
12	16	0.188779
12	17	0.238572
12	18	0.293985
12	19	0.353918
12	20	0.416983
12	21	0.481615
12	22	0.546175
12	23	0.609071
12	24	0.668872
12	25	0.724384
12	26	0.774709
12	27	0.819269
12	28	0.857808
12	29	0.890367
12	30	0.91723
12	31	0.938868
12	32	0.955878
12	33	0.968925
12	34	0.978677
12	35	0.985772
12	36	0.990788
12	37	0.994229
12	38	0.996513
12	39	0.997977
12	40	0.998878
12	41	0.999409
12	42	0.999707
12	43	0.999865
12	44	0.999943
12	45	0.999978
12	46	0.999993
12	47	0.999998
12	48	1
12	49	1
12	50	1

13	0	2.21422e-06
13	1	1.15721e-05
13	2	4.30459e-05
13	3	0.000131027
13	4	0.00034492
13	5	0.000817558
13	6	0.00177683
13	7	0.00359596
13	8	0.0068427
13	9	0.0123283
13	10	0.0211518
13	11	0.0347114
13	12	0.0546918
13	13	0.0830085
13	14	0.121713
13	15	0.172859
13	16	0.238338
13	17	0.319717
13	18	0.41804
13	19	0.533707
13	20	0.666348
13	21	0.814788
13	22	0.977048
13	23	1.15044
13	24	1.33172
13	25	1.51727
13	26	1.7033
13	27	1.88611
13	28	2.06227
13	29	2.22877
13	30	2.38321
13	31	2.52382
13	32	2.64948
13	33	2.75973
13	34	2.8547
13	35	2.93498
13	36	3.00157
13	37	3.05577
13	38	3.09902
13	39	3.13285
13	40	3.15877
13	41	3.17821
13	42	3.19248
13	43	3.20271
13	44	3.20986
13	45	3.21473
13	46	3.21796
13	47	3.22003
13	48	3.22132
13	49	3.22209
13	50	3.22253
13	51	3.22278
13	52	3.2229
13	53	3.22296
13	54	3.22299
13	55	3.223
13	56	3.223
13	57	3.22301
13	58	3.22301
13	59	3.22301

