n	value	freq	max_freq	sample


3	0	4	4	5
3	1	1	4	5

4	0	7	7	23
4	1	6	7	23
4	2	6	7	23
4	3	4	7	23

5	0	16	26	119
5	1	15	26	119
5	2	26	26	119
5	3	25	26	119
5	4	21	26	119
5	5	11	26	119
5	6	5	26	119

6	0	31	124	719
6	1	46	124	719
6	2	77	124	719
6	3	112	124	719
6	4	120	124	719
6	5	124	124	719
6	6	94	124	719
6	7	62	124	719
6	8	32	124	719
6	9	15	124	719
6	10	6	124	719

7	0	62	711	5037
7	1	116	711	5037
7	2	236	711	5037
7	3	386	711	5037
7	4	551	711	5037
7	5	676	711	5037
7	6	711	711	5037
7	7	673	711	5037
7	8	551	711	5037
7	9	425	711	5037
7	10	299	711	5037
7	11	186	711	5037
7	12	102	711	5037
7	13	47	711	5037
7	14	16	711	5037

8	0	128	4618	40319
8	1	283	4618	40319
8	2	645	4618	40319
8	3	1216	4618	40319
8	4	1960	4618	40319
8	5	2870	4618	40319
8	6	3683	4618	40319
8	7	4351	4618	40319
8	8	4618	4618	40319
8	9	4581	4618	40319
8	10	4216	4618	40319
8	11	3602	4618	40319
8	12	2824	4618	40319
8	13	2092	4618	40319
8	14	1435	4618	40319
8	15	887	4618	40319
8	16	501	4618	40319
8	17	261	4618	40319
8	18	117	4618	40319
8	19	40	4618	40319
8	20	9	4618	40319

9	0	253	35517	362877
9	1	680	35517	362877
9	2	1688	35517	362877
9	3	3533	35517	362877
9	4	6371	35517	362877
9	5	10523	35517	362877
9	6	15586	35517	362877
9	7	21403	35517	362877
9	8	27057	35517	362877
9	9	31539	35517	362877
9	10	34518	35517	362877
9	11	35517	35517	362877
9	12	34458	35517	362877
9	13	31743	35517	362877
9	14	27862	35517	362877
9	15	23230	35517	362877
9	16	18333	35517	362877
9	17	13760	35517	362877
9	18	9763	35517	362877
9	19	6489	35517	362877
9	20	4037	35517	362877
9	21	2338	35517	362877
9	22	1242	35517	362877
9	23	597	35517	362877
9	24	251	35517	362877
9	25	85	35517	362877
9	26	21	35517	362877

10	0	518	304402	3628797
10	1	1569	304402	3628797
10	2	4293	304402	3628797
10	3	9757	304402	3628797
10	4	19341	304402	3628797
10	5	34914	304402	3628797
10	6	57306	304402	3628797
10	7	87837	304402	3628797
10	8	124779	304402	3628797
10	9	165828	304402	3628797
10	10	207034	304402	3628797
10	11	244770	304402	3628797
10	12	275195	304402	3628797
10	13	295492	304402	3628797
10	14	304402	304402	3628797
10	15	300623	304402	3628797
10	16	284958	304402	3628797
10	17	259549	304402	3628797
10	18	227050	304402	3628797
10	19	190540	304402	3628797
10	20	153485	304402	3628797
10	21	118903	304402	3628797
10	22	88543	304402	3628797
10	23	63274	304402	3628797
10	24	43270	304402	3628797
10	25	28163	304402	3628797
10	26	17371	304402	3628797
10	27	10097	304402	3628797
10	28	5453	304402	3628797
10	29	2688	304402	3628797
10	30	1184	304402	3628797
10	31	448	304402	3628797
10	32	135	304402	3628797
10	33	28	304402	3628797

11	0	1046	2927659	39916797
11	1	3596	2927659	39916797
11	2	10530	2927659	39916797
11	3	25993	2927659	39916797
11	4	55494	2927659	39916797
11	5	108442	2927659	39916797
