size	value	prob

3	0	1

4	0	0.73913
4	1	1

5	0	0.56
5	1	1

6	0	0.331469
6	1	0.66993
6	2	0.952448
6	3	1

7	0	0.183883
7	1	0.46664
7	2	0.806471
7	3	0.943328
7	4	1

8	0	0.113041
8	1	0.306719
8	2	0.61582
8	3	0.822549
8	4	0.944224
8	5	0.987842
8	6	0.997817
8	7	1

9	0	0.0542808
9	1	0.176091
9	2	0.414309
9	3	0.640167
9	4	0.821737
9	5	0.927489
9	6	0.974706
9	7	0.994397
9	8	1

10	0	0.0312129
10	1	0.102566
10	2	0.2643
10	3	0.466349
10	4	0.668673
10	5	0.82124
10	6	0.914672
10	7	0.966418
10	8	0.9901
10	9	0.997549
10	10	0.999612
10	11	1

11	0	0.0134391
11	1	0.0509777
11	2	0.147398
11	3	0.29625
11	4	0.478165
11	5	0.65122
11	6	0.788307
11	7	0.886615
11	8	0.947768
11	9	0.978222
11	10	0.992106
11	11	0.997646
11	12	0.999559
11	13	1

12	0	0.0073878
12	1	0.0273601
12	2	0.0817291
12	3	0.181033
12	4	0.323253
12	5	0.483762
12	6	0.636534
12	7	0.76629
12	8	0.864776
12	9	0.92799
12	10	0.965205
12	11	0.985001
12	12	0.994485
12	13	0.998269
12	14	0.99952
12	15	0.999883
12	16	0.99998
12	17	1

