n	value	freq	max_freq	sample


3	0	5	5	5

4	0	17	17	23
4	1	6	17	23

5	0	56	56	100
5	1	44	56	100

6	0	237	242	715
6	1	242	242	715
6	2	202	242	715
6	3	34	242	715

7	0	915	1691	4976
7	1	1407	1691	4976
7	2	1691	1691	4976
7	3	681	1691	4976
7	4	282	1691	4976

8	0	4556	12458	40304
8	1	7806	12458	40304
8	2	12458	12458	40304
8	3	8332	12458	40304
8	4	4904	12458	40304
8	5	1758	12458	40304
8	6	402	12458	40304
8	7	88	12458	40304

9	0	19687	86399	362688
9	1	44179	86399	362688
9	2	86399	86399	362688
9	3	81916	86399	362688
9	4	65853	86399	362688
9	5	38355	86399	362688
9	6	17125	86399	362688
9	7	7142	86399	362688
9	8	2032	86399	362688

10	0	113259	734153	3628592
10	1	258912	734153	3628592
10	2	586865	734153	3628592
10	3	733154	734153	3628592
10	4	734153	734153	3628592
10	5	553602	734153	3628592
10	6	339027	734153	3628592
10	7	187766	734153	3628592
10	8	85932	734153	3628592
10	9	27030	734153	3628592
10	10	7484	734153	3628592
10	11	1408	734153	3628592

11	0	536422	7261168	39915072
11	1	1498357	7261168	39915072
11	2	3848630	7261168	39915072
11	3	5941421	7261168	39915072
11	4	7261168	7261168	39915072
11	5	6907477	7261168	39915072
11	6	5471850	7261168	39915072
11	7	3923995	7261168	39915072
11	8	2440894	7261168	39915072
11	9	1215590	7261168	39915072
11	10	554172	7261168	39915072
11	11	221144	7261168	39915072
11	12	76336	7261168	39915072
11	13	17616	7261168	39915072

12	0	3538760	76883464	479000304
12	1	9566720	76883464	479000304
12	2	26042796	76883464	479000304
12	3	47566548	76883464	479000304
12	4	68123629	76883464	479000304
12	5	76883464	76883464	479000304
12	6	73178189	76883464	479000304
12	7	62152850	76883464	479000304
12	8	47175065	76883464	479000304
12	9	30279372	76883464	479000304
12	10	17826019	76883464	479000304
12	11	9482318	76883464	479000304
12	12	4542794	76883464	479000304
12	13	1812728	76883464	479000304
12	14	599356	76883464	479000304
12	15	173664	76883464	479000304
12	16	46240	76883464	479000304
12	17	9792	76883464	479000304

13	0	18107803	873173562	1932032768
13	1	57784592	873173562	1932032768
13	2	170462961	873173562	1932032768
13	3	357125770	873173562	1932032768
13	4	589814160	873173562	1932032768
13	5	779048973	873173562	1932032768
13	6	873173562	873173562	1932032768
13	7	871636206	873173562	1932032768
13	8	784326681	873173562	1932032768
13	9	615203512	873173562	1932032768
13	10	444432463	873173562	1932032768
13	11	295408232	873173562	1932032768
13	12	182097676	873173562	1932032768
13	13	101074947	873173562	1932032768
13	14	50137430	873173562	1932032768
13	15	22881080	873173562	1932032768
13	16	9604704	873173562	1932032768
13	17	3495632	873173562	1932032768
13	18	991872	873173562	1932032768
13	19	191808	873173562	1932032768

