size	value	prob

3	0	1

4	0	0.636364
4	1	1

5	0	0.5
5	1	1

6	0	0.320334
6	1	0.727019
6	2	0.961003
6	3	1

7	0	0.221154
7	1	0.605769
7	2	0.913462
7	3	1

8	0	0.171247
8	1	0.518603
8	2	0.839766
8	3	0.972914
8	4	0.997916
8	5	1

9	0	0.11869
9	1	0.413761
9	2	0.754152
9	3	0.943368
9	4	0.993649
9	5	1

10	0	0.0907927
10	1	0.347518
10	2	0.678503
10	3	0.902107
10	4	0.982834
10	5	0.998336
10	6	0.999922
10	7	1

11	0	0.0630908
11	1	0.271486
11	2	0.58635
11	3	0.846149
11	4	0.96514
11	5	0.995412
11	6	0.999684
11	7	1

12	0	0.0478795
12	1	0.222657
12	2	0.51419
12	3	0.788044
12	4	0.939383
12	5	0.9891
12	6	0.998821
12	7	0.999928
12	8	0.999998
12	9	1

