n	value	freq	max_freq	sample
1	0	1	1	1

2	0	2	2	2

3	0	4	4	6
3	1	2	4	6

4	0	14	14	24
4	1	8	14	24
4	2	2	14	24

5	0	48	52	120
5	1	52	52	120
5	2	20	52	120

6	0	230	318	720
6	1	318	318	720
6	2	151	318	720
6	3	20	318	720
6	4	1	318	720

7	0	1104	2196	5040
7	1	2196	2196	5040
7	2	1424	2196	5040
7	3	296	2196	5040
7	4	20	2196	5040

8	0	6904	15940	40320
8	1	15940	15940	40320
8	2	13058	15940	40320
8	3	3926	15940	40320
8	4	471	15940	40320
8	5	20	15940	40320
8	6	1	15940	40320

9	0	43056	130944	362880
9	1	125764	130944	362880
9	2	130944	130944	362880
9	3	53298	130944	362880
9	4	9182	130944	362880
9	5	618	130944	362880
9	6	18	130944	362880

10	0	329468	1327624	3628800
10	1	1093384	1327624	3628800
10	2	1327624	1327624	3628800
10	3	694298	1327624	3628800
10	4	165330	1327624	3628800
10	5	17758	1327624	3628800
10	6	923	1327624	3628800
10	7	14	1327624	3628800
10	8	1	1327624	3628800

11	0	2518368	14523708	39916800
11	1	9975388	14523708	39916800
11	2	14523708	14523708	39916800
11	3	9494784	14523708	39916800
11	4	2935010	14523708	39916800
11	5	437396	14523708	39916800
11	6	31132	14523708	39916800
11	7	1000	14523708	39916800
11	8	14	14523708	39916800

12	0	22934334	165951398	479001600
12	1	100288804	165951398	479001600
12	2	165951398	165951398	479001600
12	3	128642604	165951398	479001600
12	4	50131335	165951398	479001600
12	5	9982718	165951398	479001600
12	6	1016268	165951398	479001600
12	7	52760	165951398	479001600
12	8	1362	165951398	479001600
12	9	16	165951398	479001600
12	10	1	165951398	479001600

13	0	208320960	2000411184	1932053504
13	1	1044627512	2000411184	1932053504
13	2	2000411184	2000411184	1932053504
13	3	1841648572	2000411184	1932053504
13	4	877889026	2000411184	1932053504
13	5	221990700	2000411184	1932053504
13	6	29918258	2000411184	1932053504
13	7	2135064	2000411184	1932053504
13	8	78326	2000411184	1932053504
13	9	1184	2000411184	1932053504
13	10	14	2000411184	1932053504

