size	value	prob

3	0	1

4	0	0.636364
4	1	1

5	0	0.48
5	1	1

6	0	0.319889
6	1	0.76217
6	2	0.972184
6	3	1

7	0	0.21992
7	1	0.657371
7	2	0.941036
7	3	1

8	0	0.171234
8	1	0.566582
8	2	0.890449
8	3	0.987822
8	4	0.999504
8	5	1

9	0	0.118657
9	1	0.465246
9	2	0.82611
9	3	0.972992
9	4	0.998297
9	5	1

10	0	0.0907926
10	1	0.3921
10	2	0.757958
10	3	0.949288
10	4	0.994848
10	5	0.999742
10	6	0.999996
10	7	1

11	0	0.0630905
11	1	0.312995
11	2	0.676845
11	3	0.914709
11	4	0.988237
11	5	0.999195
11	6	0.999975
11	7	1

12	0	0.0478795
12	1	0.25725
12	2	0.603703
12	3	0.872267
12	4	0.976925
12	5	0.997765
12	6	0.999887
12	7	0.999997
12	8	1
12	9	1

13	0	0.0334544
13	1	0.201212
13	2	0.522458
13	3	0.81821
13	4	0.95919
13	5	0.99484
13	6	0.999644
13	7	0.999987
13	8	1
13	9	1

