n	value	freq	max_freq	sample


3	0	4	4	4

4	0	14	14	22
4	1	8	14	22

5	0	48	52	100
5	1	52	52	100

6	0	230	318	719
6	1	318	318	719
6	2	151	318	719
6	3	20	318	719

7	0	1104	2196	5020
7	1	2196	2196	5020
7	2	1424	2196	5020
7	3	296	2196	5020

8	0	6904	15940	40319
8	1	15940	15940	40319
8	2	13058	15940	40319
8	3	3926	15940	40319
8	4	471	15940	40319
8	5	20	15940	40319

9	0	43056	130944	362862
9	1	125764	130944	362862
9	2	130944	130944	362862
9	3	53298	130944	362862
9	4	9182	130944	362862
9	5	618	130944	362862

10	0	329468	1327624	3628799
10	1	1093384	1327624	3628799
10	2	1327624	1327624	3628799
10	3	694298	1327624	3628799
10	4	165330	1327624	3628799
10	5	17758	1327624	3628799
10	6	923	1327624	3628799
10	7	14	1327624	3628799

11	0	2518368	14523708	39916786
11	1	9975388	14523708	39916786
11	2	14523708	14523708	39916786
11	3	9494784	14523708	39916786
11	4	2935010	14523708	39916786
11	5	437396	14523708	39916786
11	6	31132	14523708	39916786
11	7	1000	14523708	39916786

12	0	22934334	165951398	479001599
12	1	100288804	165951398	479001599
12	2	165951398	165951398	479001599
12	3	128642604	165951398	479001599
12	4	50131335	165951398	479001599
12	5	9982718	165951398	479001599
12	6	1016268	165951398	479001599
12	7	52760	165951398	479001599
12	8	1362	165951398	479001599
12	9	16	165951398	479001599

13	0	208320960	2000411184	6227020786
13	1	1044627512	2000411184	6227020786
13	2	2000411184	2000411184	6227020786
13	3	1841648572	2000411184	6227020786
13	4	877889026	2000411184	6227020786
13	5	221990700	2000411184	6227020786
13	6	29918258	2000411184	6227020786
13	7	2135064	2000411184	6227020786
13	8	78326	2000411184	6227020786
13	9	1184	2000411184	6227020786

