n	value	freq	max_freq	sample


3	0	4	4	4

4	0	14	14	14

5	0	48	68	116
5	1	68	68	116

6	0	230	455	685
6	1	455	455	685

7	0	1104	3472	4576
7	1	3472	3472	4576

8	0	6904	28857	35761
8	1	28857	28857	35761

9	0	43056	264644	361680
9	1	264644	264644	361680
9	2	53980	264644	361680

10	0	329468	2669345	3611528
10	1	2669345	2669345	3611528
10	2	612715	2669345	3611528

11	0	2518368	29028616	39570312
11	1	29028616	29028616	39570312
11	2	8023328	29028616	39570312

12	0	22934334	345279270	473944568
12	1	345279270	345279270	473944568
12	2	105730964	345279270	473944568

13	0	208320960	4373284642	1931408384
13	1	4373284642	4373284642	1931408384
13	2	1551348206	4373284642	1931408384
13	3	93421872	4373284642	1931408384

