n	value	freq	max_freq	sample


3	0	4	4	4

4	0	14	14	22
4	1	8	14	22

5	0	48	60	108
5	1	60	60	108

6	0	230	356	586
6	1	356	356	586

7	0	1104	2616	4968
7	1	2616	2616	4968
7	2	1248	2616	4968

8	0	6904	18708	40282
8	1	18708	18708	40282
8	2	13430	18708	40282
8	3	1240	18708	40282

9	0	43056	155664	361992
9	1	155664	155664	361992
9	2	136632	155664	361992
9	3	26640	155664	361992

10	0	329468	1502306	3595578
10	1	1343096	1502306	3595578
10	2	1502306	1502306	3595578
10	3	420708	1502306	3595578

11	0	2518368	17096784	39897432
11	1	12726672	17096784	39897432
11	2	17096784	17096784	39897432
11	3	6748632	17096784	39897432
11	4	806976	17096784	39897432

12	0	22934334	205910294	478988760
12	1	127211464	205910294	478988760
12	2	205910294	205910294	478988760
12	3	103648376	205910294	478988760
12	4	18450400	205910294	478988760
12	5	833892	205910294	478988760

13	0	208320960	2576092716	6226452132
13	1	1368512004	2576092716	6226452132
13	2	2576092716	2576092716	6226452132
13	3	1651612992	2576092716	6226452132
13	4	391386600	2576092716	6226452132
13	5	30526860	2576092716	6226452132

