size	value	prob

3	0	1
3	1	1

4	0	0.636364
4	1	0.636364
4	2	1
4	3	1

5	0	0.444444
5	1	0.444444
5	2	0.888889
5	3	1

6	0	0.320334
6	1	0.320334
6	2	0.727019
6	3	0.816156
6	4	0.961003
6	5	1

7	0	0.21957
7	1	0.21957
7	2	0.601432
7	3	0.725537
7	4	0.921241
7	5	0.980907
7	6	1

8	0	0.171494
8	1	0.171494
8	2	0.51935
8	3	0.624174
8	4	0.852998
8	5	0.948979
8	6	0.993442
8	7	1

9	0	0.11869
9	1	0.11869
9	2	0.413761
9	3	0.52084
9	4	0.778564
9	5	0.895137
9	6	0.971882
9	7	0.994542
9	8	1

10	0	0.0908103
10	1	0.0908103
10	2	0.347586
10	3	0.438417
10	4	0.69921
10	5	0.829514
10	6	0.942136
10	7	0.983043
10	8	0.99719
10	9	1

11	0	0.0630964
11	1	0.0630964
11	2	0.27151
11	3	0.353228
11	4	0.61065
11	5	0.752482
11	6	0.897172
11	7	0.961353
11	8	0.990869
11	9	0.998533
11	10	1

12	0	0.0478828
12	1	0.0478828
12	2	0.222672
12	3	0.290128
12	4	0.533988
12	5	0.675475
12	6	0.843635
12	7	0.929309
12	8	0.978063
12	9	0.994717
12	10	0.99936
12	11	1

13	0	0.107832
13	1	0.107832
13	2	0.552051
13	3	0.735479
13	4	1.45624
13	5	1.90614
13	6	2.50423
13	7	2.85199
13	8	3.08418
13	9	3.17999
13	10	3.21418
13	11	3.22201
13	12	3.22319

