n	value	freq	max_freq	sample


3	0	4	4	4
3	1	0	4	4

4	0	14	14	22
4	1	0	14	22
4	2	8	14	22
4	3	0	14	22

5	0	48	48	108
5	1	0	48	108
5	2	48	48	108
5	3	12	48	108

6	0	230	292	718
6	1	0	292	718
6	2	292	292	718
6	3	64	292	718
6	4	104	292	718
6	5	28	292	718

7	0	1104	1920	5028
7	1	0	1920	5028
7	2	1920	1920	5028
7	3	624	1920	5028
7	4	984	1920	5028
7	5	300	1920	5028
7	6	96	1920	5028

8	0	6904	14004	40258
8	1	0	14004	40258
8	2	14004	14004	40258
8	3	4220	14004	40258
8	4	9212	14004	40258
8	5	3864	14004	40258
8	6	1790	14004	40258
8	7	264	14004	40258

9	0	43056	107040	362760
9	1	0	107040	362760
9	2	107040	107040	362760
9	3	38844	107040	362760
9	4	93492	107040	362760
9	5	42288	107040	362760
9	6	27840	107040	362760
9	7	8220	107040	362760
9	8	1980	107040	362760

10	0	329468	946180	3628090
10	1	0	946180	3628090
10	2	931604	946180	3628090
10	3	329544	946180	3628090
10	4	946180	946180	3628090
10	5	472756	946180	3628090
10	6	408604	946180	3628090
10	7	148412	946180	3628090
10	8	51326	946180	3628090
10	9	10196	946180	3628090

11	0	2518368	10274484	39913008
11	1	0	10274484	39913008
11	2	8318400	10274484	39913008
11	3	3261612	10274484	39913008
11	4	10274484	10274484	39913008
11	5	5660964	10274484	39913008
11	6	5775000	10274484	39913008
11	7	2561652	10274484	39913008
11	8	1178076	10274484	39913008
11	9	305916	10274484	39913008
11	10	58536	10274484	39913008

12	0	22934334	116801450	478968056
12	1	0	116801450	478968056
12	2	83718552	116801450	478968056
12	3	32309008	116801450	478968056
12	4	116801450	116801450	478968056
12	5	67767532	116801450	478968056
12	6	80543546	116801450	478968056
12	7	41034792	116801450	478968056
12	8	23351790	116801450	478968056
12	9	7976800	116801450	478968056
12	10	2223948	116801450	478968056
12	11	306304	116801450	478968056

13	0	208320960	1392426744	1931896304
13	1	0	1392426744	1931896304
13	2	858183504	1392426744	1931896304
13	3	354365088	1392426744	1931896304
13	4	1392426744	1392426744	1931896304
13	5	869173632	1392426744	1931896304
13	6	1155444564	1392426744	1931896304
13	7	671827752	1392426744	1931896304
13	8	448578600	1392426744	1931896304
13	9	185083776	1392426744	1931896304
13	10	66056652	1392426744	1931896304
13	11	15133176	1392426744	1931896304
13	12	2269152	1392426744	1931896304

