size	value	prob
2	0	1

3	0	1

4	0	0.217391
4	1	0.695652
4	2	1

5	0	0.134615
5	1	0.480769
5	2	1

6	0	0.0500695
6	1	0.212796
6	2	0.609179
6	3	0.867872
6	4	0.965229
6	5	1

7	0	0.0226537
7	1	0.109223
7	2	0.385922
7	3	0.693366
7	4	0.895631
7	5	1

8	0	0.00825913
8	1	0.0453384
8	2	0.192887
8	3	0.428706
8	4	0.671718
8	5	0.860364
8	6	0.950693
8	7	0.987103
8	8	0.997941
8	9	1

9	0	0.00330939
9	1	0.0195746
9	2	0.0923867
9	3	0.246862
9	4	0.464028
9	5	0.687663
9	6	0.849945
9	7	0.941149
9	8	0.985691
9	9	1

10	0	0.00109678
10	1	0.00717703
10	2	0.0375628
10	3	0.118114
10	4	0.26357
10	5	0.45663
10	6	0.647166
10	7	0.796619
10	8	0.900141
10	9	0.958618
10	10	0.985252
10	11	0.995622
10	12	0.999181
10	13	0.999919
10	14	1

11	0	0.000404456
11	1	0.00277436
11	2	0.0150689
11	3	0.0536279
11	4	0.138274
11	5	0.275933
11	6	0.44664
11	7	0.617583
11	8	0.765241
11	9	0.873075
11	10	0.93962
11	11	0.974982
11	12	0.991731
11	13	0.998261
11	14	1

12	0	0.00012349
12	1	0.000916174
12	2	0.00526836
12	3	0.0209744
12	4	0.0617073
12	5	0.140908
12	6	0.260216
12	7	0.406796
12	8	0.56168
12	9	0.702966
12	10	0.815071
12	11	0.89373
12	12	0.944441
12	13	0.974056
12	14	0.989257
12	15	0.996109
12	16	0.998828
12	17	0.999722
12	18	0.99996
12	19	0.999998
12	20	1

13	0	4.29779e-05
13	1	0.000327475
13	2	0.00189053
13	3	0.00807044
13	4	0.0262706
13	5	0.0671548
13	6	0.139442
13	7	0.244431
13	8	0.375309
13	9	0.516936
13	10	0.651509
13	11	0.76549
13	12	0.853603
13	13	0.915926
13	14	0.955836
13	15	0.978899
13	16	0.990963
13	17	0.996636
13	18	0.998998
13	19	0.9998
13	20	1

