n	avg	p25	p75
1	-nan	0.5	0.5
2	-nan	0.5	0.5
3	0.333316	0	1
4	1.8233	1	3
5	3.17565	2	4
6	5.00723	4	6
7	7.10895	5	9
8	9.6618	8	12
9	12.5323	10	15
10	15.8292	13	19
11	19.4621	16	23
12	23.5077	20	27
13	27.9004	24	32
14	32.696	28	37
15	37.8432	32	43
16	43.3879	37	49
17	49.2891	43	56
18	55.5866	48	62
19	62.2371	55	70
20	69.2845	61	77
21	76.6915	68	85
22	84.4895	75	94
23	92.651	82	103
24	101.191	90	112
25	110.104	98	121
26	119.4	107	131
27	129.06	116	142
28	139.11	125	152
29	149.523	135	164
30	160.323	145	175
31	171.48	155	187
32	183.027	166	199
33	194.948	177	212
34	207.237	189	225
35	219.904	201	239
36	232.957	213	253
37	246.364	225	267
38	260.168	238	281
