size	value	prob

3	0	0.666684
3	1	1

4	1	0.441316
4	2	0.735381
4	3	1

5	0	0.0526004
5	1	0.105226
5	2	0.326264
5	3	0.578913
5	4	0.817513
5	5	0.943834
5	6	1

6	0	0.0035681
6	1	0.0300519
6	2	0.0830351
6	3	0.218337
6	4	0.394787
6	5	0.616873
6	6	0.788899
6	7	0.905164
6	8	0.962476
6	9	0.989583
6	10	1

7	0	0.000167987
7	1	0.00375283
7	2	0.020207
7	3	0.0586186
7	4	0.143008
7	5	0.263686
7	6	0.418934
7	7	0.579764
7	8	0.721264
7	9	0.832161
7	10	0.910281
7	11	0.958579
7	12	0.984482
7	13	0.996148
7	14	1

8	0	7.66521e-05
8	1	0.000814083
8	2	0.00332535
8	3	0.0120717
8	4	0.0324238
8	5	0.0743794
8	6	0.143324
8	7	0.241393
8	8	0.361802
8	9	0.492703
8	10	0.621819
8	11	0.736194
8	12	0.827745
8	13	0.896117
8	14	0.942769
8	15	0.971127
8	16	0.986866
8	17	0.994967
8	18	0.998546
8	19	0.999737
8	20	1

9	0	3.53003e-06
9	1	4.90705e-05
9	2	0.000465865
9	3	0.00187148
9	4	0.00602035
9	5	0.0158221
9	6	0.0362032
9	7	0.0722392
9	8	0.127962
9	9	0.20359
9	10	0.296481
9	11	0.401763
9	12	0.51152
9	13	0.617736
9	14	0.714403
9	15	0.796884
9	16	0.862742
9	17	0.912208
9	18	0.947181
9	19	0.970282
9	20	0.984486
9	21	0.992583
9	22	0.996814
9	23	0.998829
9	24	0.99966
9	25	0.999934
9	26	1

