n	avg	p25	p75
1	-nan	0.5	0.5
2	-nan	0.5	0.5
3	0	0	0
4	0.302939	0	1
5	0.563041	0	1
6	1.32062	1	2
7	1.96808	1	3
8	2.66035	2	4
9	3.53488	2	5
10	4.37271	3	6
11	5.45309	4	7
12	6.49323	5	8
13	7.77886	6	10
14	9.02696	7	11
15	10.52	8	13
16	11.9747	9	14
17	13.6755	11	16
18	15.3397	12	18
19	17.2461	14	20
20	19.1193	16	22
21	21.2345	17	25
22	23.3146	19	27
23	25.6401	21	30
24	27.9285	23	32
25	30.4587	26	35
26	32.9569	28	38
27	35.6958	30	41
28	38.4036	33	44
29	41.3497	35	47
30	44.2666	38	50
31	47.4198	41	54
32	50.5453	44	57
33	53.908	47	61
34	57.2403	50	64
35	60.811	53	68
36	64.3545	56	72
37	68.1304	59	76
38	71.8813	63	80
