n	value	freq	max_freq	sample


3	0	75001779	75001779	75001779

4	0	63892973	63892973	91660470
4	1	27767497	63892973	91660470

5	0	32203459	41495553	73699012
5	1	41495553	41495553	73699012

6	0	22646466	36901529	98380266
6	1	30188290	36901529	98380266
6	2	36901529	36901529	98380266
6	3	8643981	36901529	98380266

7	0	9789193	36776979	97650256
7	1	21945538	36776979	97650256
7	2	36776979	36776979	97650256
7	3	19870201	36776979	97650256
7	4	9268345	36776979	97650256

8	0	6510200	28181599	99896933
8	1	13075537	28181599	99896933
8	2	28181599	28181599	99896933
8	3	24827273	28181599	99896933
8	4	17581350	28181599	99896933
8	5	7282316	28181599	99896933
8	6	1967621	28181599	99896933
8	7	471037	28181599	99896933

9	0	2477550	22718006	99878905
9	1	7172748	22718006	99878905
9	2	18491926	22718006	99878905
9	3	22718006	22718006	99878905
9	4	22050512	22718006	99878905
9	5	14878041	22718006	99878905
9	6	7555615	22718006	99878905
9	7	3452640	22718006	99878905
9	8	1081867	22718006	99878905

