n	avg	p25	p75
1	-nan	0.5	0.5
2	-nan	0.5	0.5
3	0	0	0
4	0.38985	0	1
5	0.605539	0	1
6	1.12688	0	2
7	1.40514	1	2
8	1.61102	1	2
9	1.89526	1	3
10	2.09516	1	3
11	2.37262	2	3
12	2.58372	2	3
13	2.85597	2	4
14	3.07498	2	4
15	3.34403	2	4
16	3.56807	3	5
17	3.83446	3	5
18	4.06259	3	5
19	4.32693	3	5
20	4.5578	3	6
21	4.82096	4	6
22	5.0541	4	6
23	5.31613	4	7
24	5.55081	4	7
25	5.81152	5	7
26	6.04807	5	7
27	6.30788	5	8
28	6.54553	5	8
29	6.80473	5	8
30	7.04333	6	8
31	7.30219	6	9
32	7.54159	6	9
33	7.79904	6	9
34	8.03979	7	9
35	8.29709	7	10
36	8.53799	7	10
37	8.79516	7	10
38	9.03669	7	11
