size	value	prob

3	0	1

4	0	0.61015
4	1	1

5	0	0.394461
5	1	1

6	0	0.260858
6	1	0.678748
6	2	0.933517
6	3	1

7	0	0.169019
7	1	0.539899
7	2	0.885945
7	3	1

8	0	0.143054
8	1	0.473356
8	2	0.80956
8	3	0.965932
8	4	0.997074
8	5	1

9	0	0.0952562
9	1	0.36651
9	2	0.718007
9	3	0.932512
9	4	0.99246
9	5	1

10	0	0.0763596
10	1	0.315331
10	2	0.647171
10	3	0.88803
10	4	0.979986
10	5	0.998058
10	6	0.999908
10	7	1

11	0	0.0519029
11	1	0.241265
11	2	0.551748
11	3	0.827612
11	4	0.960367
11	5	0.994828
11	6	0.999654
11	7	1

12	0	0.040788
12	1	0.201216
12	2	0.486204
12	3	0.769086
12	4	0.932554
12	5	0.987814
12	6	0.998698
12	7	0.999922
12	8	0.999997
12	9	1

13	0	0.0280677
13	1	0.15251
13	2	0.403893
13	3	0.693592
13	4	0.893415
13	5	0.97615
13	6	0.996687
13	7	0.999731
13	8	0.999989
13	9	1

14	0	0.0216455
14	1	0.124634
14	2	0.348273
14	3	0.630055
14	4	0.850184
14	5	0.958666
14	6	0.992488
14	7	0.999132
14	8	0.999939
14	9	0.999998
14	10	1

