n	value	freq	max_freq	sample


3	0	24998221	24998221	24998221

4	0	49994622	49994622	81938271
4	1	31943649	49994622	81938271

5	0	28041895	43047193	71089088
5	1	43047193	43047193	71089088

6	0	25999956	41651432	99670776
6	1	41651432	41651432	99670776
6	2	25393003	41651432	99670776
6	3	6626385	41651432	99670776

7	0	16702437	36650333	98819945
7	1	36650333	36650333	98819945
7	2	34196292	36650333	98819945
7	3	11270883	36650333	98819945

8	0	14303680	33616308	99987729
8	1	33026121	33616308	99987729
8	2	33616308	33616308	99987729
8	3	15635273	33616308	99987729
8	4	3113796	33616308	99987729
8	5	292551	33616308	99987729

9	0	9522077	35136660	99962830
9	1	27115272	35136660	99962830
9	2	35136660	35136660	99962830
9	3	21442499	35136660	99962830
9	4	5992597	35136660	99962830
9	5	753725	35136660	99962830

10	0	7635943	33183915	99999774
10	1	23897126	33183915	99999774
10	2	33183915	33183915	99999774
10	3	24085865	33183915	99999774
10	4	9195558	33183915	99999774
10	5	1807130	33183915	99999774
10	6	184995	33183915	99999774
10	7	9242	33183915	99999774

11	0	5190252	31048068	99999286
11	1	18936077	31048068	99999286
11	2	31048068	31048068	99999286
11	3	27586254	31048068	99999286
11	4	13275345	31048068	99999286
11	5	3446093	31048068	99999286
11	6	482637	31048068	99999286
11	7	34560	31048068	99999286

12	0	4078802	28498805	99999991
12	1	16042795	28498805	99999991
12	2	28498805	28498805	99999991
12	3	28288150	28498805	99999991
12	4	16346803	28498805	99999991
12	5	5526064	28498805	99999991
12	6	1088331	28498805	99999991
12	7	122416	28498805	99999991
12	8	7574	28498805	99999991
12	9	251	28498805	99999991

13	0	2806769	28969942	99999979
13	1	12444216	28969942	99999979
13	2	25138265	28969942	99999979
13	3	28969942	28969942	99999979
13	4	19982262	28969942	99999979
13	5	8273571	28969942	99999979
13	6	2053626	28969942	99999979
13	7	304446	28969942	99999979
13	8	25803	28969942	99999979
13	9	1079	28969942	99999979

14	0	2164550	28178185	99999994
14	1	10298887	28178185	99999994
14	2	22363908	28178185	99999994
14	3	28178185	28178185	99999994
14	4	22012838	28178185	99999994
14	5	10848189	28178185	99999994
14	6	3382260	28178185	99999994
14	7	664422	28178185	99999994
14	8	80689	28178185	99999994
14	9	5840	28178185	99999994
14	10	226	28178185	99999994

15	0	1496935	26928578	99999979
15	1	7877200	26928578	99999979
15	2	18992882	26928578	99999979
15	3	26928578	26928578	99999979
15	4	24122157	26928578	99999979
15	5	13922733	26928578	99999979
15	6	5197230	26928578	99999979
15	7	1249581	26928578	99999979
15	8	193247	26928578	99999979
15	9	18376	26928578	99999979
15	10	1060	26928578	99999979

16	0	1144083	25187618	99999996
16	1	6401188	25187618	99999996
16	2	16474126	25187618	99999996
16	3	25187618	25187618	99999996
16	4	24847271	25187618	99999996
16	5	16260612	25187618	99999996
16	6	7123524	25187618	99999996
16	7	2093747	25187618	99999996
16	8	410362	25187618	99999996
16	9	52739	25187618	99999996
16	10	4498	25187618	99999996
16	11	228	25187618	99999996

17	0	798555	25287626	99999999
17	1	4849212	25287626	99999999
17	2	13631234	25287626	99999999
17	3	22960696	25287626	99999999
17	4	25287626	25287626	99999999
