n	avg	p25	p75
1	-nan	0.5	0.5
2	-nan	0.5	0.5
3	0	0	0
4	0.38985	0	1
5	0.628675	0	1
6	1.07835	0	2
7	1.31096	1	2
8	1.48555	1	2
9	1.72172	1	2
10	1.89978	1	3
11	2.13015	1	3
12	2.31702	2	3
13	2.54435	2	3
14	2.7369	2	4
15	2.962	2	4
16	3.15798	2	4
17	3.38129	2	4
18	3.58023	3	4
19	3.80226	3	5
20	4.00284	3	5
21	4.22409	3	5
22	4.42644	3	5
23	4.647	4	6
24	4.85003	4	6
25	5.06964	4	6
26	5.27426	4	6
27	5.49332	4	7
28	5.69845	5	7
29	5.91724	5	7
30	6.12297	5	7
31	6.34166	5	8
32	6.54799	5	8
33	6.76559	6	8
34	6.97297	6	8
35	7.19038	6	8
36	7.39758	6	9
37	7.61515	6	9
38	7.82293	6	9
