size	value	prob

3	0	1

4	0	0.61015
4	1	1

5	0	0.371325
5	1	1

6	0	0.260435
6	1	0.71245
6	2	0.948765
6	3	1

7	0	0.167903
7	1	0.59739
7	2	0.923752
7	3	1

8	0	0.143041
8	1	0.518868
8	2	0.868874
8	3	0.984337
8	4	0.999327
8	5	1

9	0	0.0952268
9	1	0.418581
9	2	0.798723
9	3	0.967797
9	4	0.997948
9	5	1

10	0	0.0763595
10	1	0.358286
10	2	0.730563
10	3	0.941371
10	4	0.993961
10	5	0.999689
10	6	0.999995
10	7	1

11	0	0.0519025
11	1	0.28173
11	2	0.646965
11	3	0.903671
11	4	0.98652
11	5	0.999088
11	6	0.999971
11	7	1

12	0	0.040788
12	1	0.234116
12	2	0.577361
12	3	0.859236
12	4	0.974111
12	5	0.997496
12	6	0.999872
12	7	0.999997
12	8	1
12	9	1

13	0	0.0280677
13	1	0.181058
13	2	0.495509
13	3	0.802302
13	4	0.954822
13	5	0.994292
13	6	0.999613
13	7	0.999986
13	8	1

14	0	0.0216455
14	1	0.147836
14	2	0.431642
14	3	0.745215
14	4	0.929371
14	5	0.988501
14	6	0.998942
14	7	0.999946
14	8	0.999998
14	9	1

