n	avg	p25	p75
1	-nan	0.5	0.5
2	-nan	0.5	0.5
3	0	0	0
4	0	0	0
5	0.706584	0	1
6	0.725889	0	1
7	0.812278	1	1
8	0.836956	1	1
9	1.06689	1	1
10	1.10145	1	1
11	1.16186	1	1
12	1.19022	1	1
13	1.26318	1	2
14	1.29004	1	2
15	1.3329	1	2
16	1.35691	1	2
17	1.39555	1	2
18	1.41798	1	2
19	1.45107	1	2
20	1.47224	1	2
21	1.50246	1	2
22	1.52231	1	2
23	1.55003	1	2
24	1.56913	1	2
25	1.59478	1	2
26	1.61287	1	2
27	1.63667	1	2
28	1.65402	1	2
29	1.67628	1	2
30	1.69272	1	2
31	1.7135	1	2
32	1.7292	1	2
33	1.74867	1	2
34	1.76357	1	2
35	1.78198	1	2
36	1.79628	1	2
37	1.81352	1	2
38	1.82705	1	2
