size	value	prob

3	0	1

4	0	1

5	0	0.293416
5	1	1

6	0	0.274111
6	1	1

7	0	0.187722
7	1	1

8	0	0.163044
8	1	1

9	0	0.0956578
9	1	0.837447
9	2	1

10	0	0.0767814
10	1	0.821769
10	2	1

11	0	0.0524293
11	1	0.785713
11	2	1

12	0	0.0412602
12	1	0.768524
12	2	1

13	0	0.0280713
13	1	0.725175
13	2	0.983577
13	3	1

14	0	0.0216491
14	1	0.706696
14	2	0.981615
14	3	1

15	0	0.0149753
15	1	0.675251
15	2	0.976879
15	3	1

16	0	0.0114463
16	1	0.65694
16	2	0.974699
16	3	1

17	0	0.00798557
17	1	0.62802
17	2	0.969226
17	3	0.999219
17	4	1

18	0	0.00603059
18	1	0.610187
18	2	0.966708
18	3	0.99909
18	4	1

19	0	0.00422546
19	1	0.584167
19	2	0.961771
19	3	0.998762
19	4	1

20	0	0.00318447
20	1	0.566862
20	2	0.959104
20	3	0.998611
20	4	1

21	0	0.00223653
21	1	0.542924
21	2	0.954198
21	3	0.998205
21	4	0.999977
21	5	1

22	0	0.001672
22	1	0.526637
22	2	0.95138
22	3	0.998026
22	4	0.999973
22	5	1

23	0	0.00117233
23	1	0.504627
23	2	0.946592
23	3	0.997618
23	4	0.999959
23	5	1

24	0	0.0008682
24	1	0.488949
24	2	0.943687
24	3	0.997408
24	4	0.999954
24	5	1

25	0	0.00061756
25	1	0.468784
25	2	0.938918
25	3	0.996965
25	4	0.999935
25	5	1

26	0	0.00046085
26	1	0.454055
26	2	0.935937
26	3	0.996753
26	4	0.999925
26	5	1

27	0	0.00032668
27	1	0.43554
27	2	0.931253
27	3	0.99631
27	4	0.999905
27	5	0.999999
27	6	1

28	0	0.00024266
28	1	0.421591
28	2	0.92818
28	3	0.996072
28	4	0.999895
28	5	1

29	0	0.00017072
29	1	0.404466
29	2	0.923585
29	3	0.995625
29	4	0.999872
29	5	0.999998
29	6	1

30	0	0.00012634
30	1	0.391459
30	2	0.92049
30	3	0.99535
30	4	0.99986
30	5	0.999998
30	6	1

31	0	8.95002e-05
31	1	0.375688
31	2	0.915977
31	3	0.994912
31	4	0.999836
31	5	1

32	0	6.704e-05
32	1	0.363441
32	2	0.912835
32	3	0.994637
32	4	0.999821
32	5	0.999997
32	6	1

33	0	4.655e-05
33	1	0.348896
33	2	0.908408
33	3	0.994182
33	4	0.999796
33	5	0.999996
33	6	1

34	0	3.452e-05
34	1	0.337505
34	2	0.905219
34	3	0.993894
34	4	0.99978
34	5	0.999996
34	6	1

35	0	2.431e-05
35	1	0.324007
35	2	0.900809
35	3	0.993433
35	4	0.99975
35	5	0.999995
35	6	1

36	0	1.79e-05
36	1	0.313223
36	2	0.897595
36	3	0.993159
36	4	0.999732
36	5	0.999994
36	6	1

37	0	1.29e-05
37	1	0.300834
37	2	0.893259
37	3	0.99268
37	4	0.999705
37	5	0.999994
37	6	1

38	0	9.34e-06
38	1	0.290821
38	2	0.890078
38	3	0.99237
38	4	0.999682
38	5	0.999993
38	6	1

