n	value	freq	max_freq	sample


3	0	24998221	24998221	24998221

4	0	49994622	49994622	49994622

5	0	28041895	67528633	95570528
5	1	67528633	67528633	95570528

6	0	25999956	68852059	94852015
6	1	68852059	68852059	94852015

7	0	16702437	72271813	88974250
7	1	72271813	72271813	88974250

8	0	14303680	73425541	87729221
8	1	73425541	73425541	87729221

9	0	9522077	73840025	99543094
9	1	73840025	73840025	99543094
9	2	16180992	73840025	99543094

10	0	7635943	74089386	99450489
10	1	74089386	74089386	99450489
10	2	17725160	74089386	99450489

11	0	5190252	72591606	98995299
11	1	72591606	72591606	98995299
11	2	21213441	72591606	98995299

12	0	4078802	71894026	98855491
12	1	71894026	71894026	98855491
12	2	22882663	71894026	98855491

13	0	2806769	69701337	99987029
13	1	69701337	69701337	99987029
13	2	25836854	69701337	99987029
13	3	1642069	69701337	99987029

14	0	2164550	68493231	99983320
14	1	68493231	68493231	99983320
14	2	27487327	68493231	99983320
14	3	1838212	68493231	99983320

