n	avg	p25	p75
1	-nan	0.5	0.5
2	-nan	0.5	0.5
3	0	0	0
4	0.38985	0	1
5	0.682037	0	1
6	0.660612	0	1
7	1.11774	1	2
8	1.30466	1	2
9	1.48355	1	2
10	1.62443	1	2
11	1.82984	1	2
12	1.99604	1	3
13	2.17602	2	3
14	2.34205	2	3
15	2.52352	2	3
16	2.69231	2	3
17	2.87158	2	4
18	3.04167	2	4
19	3.22076	2	4
20	3.3916	3	4
21	3.57018	3	4
22	3.74201	3	5
23	3.92071	3	5
24	4.09268	3	5
25	4.27081	3	5
26	4.44352	4	5
27	4.62156	4	6
28	4.79448	4	6
29	4.97245	4	6
30	5.14546	4	6
31	5.32371	4	6
32	5.49719	5	6
33	5.67468	5	7
34	5.84873	5	7
35	6.026	5	7
36	6.19981	5	7
37	6.37757	5	7
38	6.5516	5	8
