size	value	prob

3	0	1

4	0	0.61015
4	1	1

5	0	0.317963
5	1	1

6	0	0.339388
6	1	1

7	0	0.170571
7	1	0.71169
7	2	1

8	0	0.143238
8	1	0.587839
8	2	0.964264
8	3	1

9	0	0.0954852
9	1	0.509108
9	2	0.911858
9	3	1

10	0	0.0772093
10	1	0.430496
10	2	0.867865
10	3	1

11	0	0.051934
11	1	0.351572
11	2	0.790062
11	3	0.976593
11	4	1

12	0	0.0407895
12	1	0.288127
12	2	0.722668
12	3	0.954438
12	4	0.997942
12	5	1

13	0	0.0280707
13	1	0.232091
13	2	0.644479
13	3	0.924978
13	4	0.994358
13	5	1

14	0	0.021655
14	1	0.187981
14	2	0.573198
14	3	0.886927
14	4	0.988188
14	5	1

