n	value	freq	max_freq	sample


3	0	24998221	24998221	24998221

4	0	49994622	49994622	81938271
4	1	31943649	49994622	81938271

5	0	28041895	60150541	88192436
5	1	60150541	60150541	88192436

6	0	25999956	50608352	76608308
6	1	50608352	50608352	76608308

7	0	16702437	52986774	97920747
7	1	52986774	52986774	97920747
7	2	28231536	52986774	97920747

8	0	14303680	44397794	99859839
8	1	44397794	44397794	99859839
8	2	37589745	44397794	99859839
8	3	3568620	44397794	99859839

9	0	9522077	41247761	99723107
9	1	41247761	41247761	99723107
9	2	40163451	41247761	99723107
9	3	8789818	41247761	99723107

10	0	7635943	43255493	98899261
10	1	34939811	43255493	98899261
10	2	43255493	43255493	98899261
10	3	13068014	43255493	98899261

11	0	5190252	43822366	99939376
11	1	29945670	43822366	99939376
11	2	43822366	43822366	99939376
11	3	18641802	43822366	99939376
11	4	2339286	43822366	99939376

12	0	4078802	43452485	99996472
12	1	24732927	43452485	99996472
12	2	43452485	43452485	99996472
12	3	23176210	43452485	99996472
12	4	4350271	43452485	99996472
12	5	205777	43452485	99996472

13	0	2806769	41234287	99989257
13	1	20399876	41234287	99989257
13	2	41234287	41234287	99989257
13	3	28046954	41234287	99989257
13	4	6937199	41234287	99989257
13	5	564172	41234287	99989257

14	0	2164550	38504757	99956132
14	1	16625325	38504757	99956132
14	2	38504757	38504757	99956132
14	3	31359143	38504757	99956132
14	4	10121656	38504757	99956132
14	5	1180701	38504757	99956132

15	0	1496935	35014647	99998425
15	1	13323495	35014647	99998425
15	2	35014647	35014647	99998425
15	3	34121588	35014647	99998425
15	4	13703819	35014647	99998425
15	5	2212475	35014647	99998425
15	6	125466	35014647	99998425

16	0	1144083	35421337	99999936
16	1	10703078	35421337	99999936
16	2	31462335	35421337	99999936
16	3	35421337	35421337	99999936
16	4	17326158	35421337	99999936
16	5	3630561	35421337	99999936
16	6	305115	35421337	99999936
16	7	7269	35421337	99999936

17	0	798555	35989333	99999745
17	1	8429118	35989333	99999745
17	2	27626731	35989333	99999745
17	3	35989333	35989333	99999745
17	4	20956479	35989333	99999745
17	5	5542590	35989333	99999745
17	6	630591	35989333	99999745
17	7	26348	35989333	99999745

18	0	603057	35429899	99998539
18	1	6698578	35429899	99998539
18	2	24109975	35429899	99998539
18	3	35429899	35429899	99998539
18	4	24132481	35429899	99998539
18	5	7793255	35429899	99998539
18	6	1161062	35429899	99998539
18	7	70232	35429899	99998539

19	0	422542	34241026	99999958
19	1	5205364	34241026	99999958
19	2	20622048	34241026	99999958
19	3	34241026	34241026	99999958
19	4	26947873	34241026	99999958
19	5	10430781	34241026	99999958
19	6	1959563	34241026	99999958
19	7	165503	34241026	99999958
19	8	5258	34241026	99999958

20	0	318443	32388499	99999755
20	1	4097480	32388499	99999755
20	2	17610443	32388499	99999755
20	3	32388499	32388499	99999755
20	4	29006635	32388499	99999755
20	5	13188057	32388499	99999755
20	6	3038998	32388499	99999755
20	7	335180	32388499	99999755
20	8	16020	32388499	99999755

21	0	223653	30517335	99999993
21	1	3150050	30517335	99999993
21	2	14760384	30517335	99999993
21	3	30143087	30517335	99999993
21	4	30517335	30517335	99999993
