n	avg	p25	p75
1	-nan	0.5	0.5
2	-nan	0.5	0.5
3	0	0	0
4	0.7797	0	2
5	1.55801	0	2
6	2.0974	0	3
7	2.57707	2	4
8	2.90911	2	4
9	3.3852	2	5
10	3.74436	2	5
11	4.20368	3	6
12	4.57929	3	6
13	5.03217	4	6
14	5.41855	4	7
15	5.86758	4	7
16	6.26035	4	8
17	6.70605	5	8
18	7.10432	6	9
19	7.54769	6	9
20	7.94941	6	10
21	8.39113	6	10
22	8.79611	7	11
23	9.23684	7	11
24	9.64349	8	12
25	10.0823	8	12
26	10.4916	8	13
27	10.9294	9	13
28	11.34	9	13
29	11.7772	10	14
30	12.1888	10	14
31	12.6259	10	15
32	13.0388	11	15
33	13.4737	11	16
34	13.8885	12	16
35	14.3231	12	17
36	14.7378	12	17
37	15.1727	13	18
38	15.5883	13	18
