size	value	prob

3	0	1
3	1	1

4	0	0.61015
4	1	0.61015
4	2	1
4	3	1

5	0	0.317963
5	1	0.317963
5	2	0.806068
5	3	1

6	0	0.260858
6	1	0.260858
6	2	0.678748
6	3	0.768614
6	4	0.933517
6	5	1

7	0	0.167614
7	1	0.167614
7	2	0.535411
7	3	0.677656
7	4	0.900278
7	5	0.974353
7	6	1

8	0	0.143343
8	1	0.143343
8	2	0.474312
8	3	0.575767
8	4	0.823702
8	5	0.938301
8	6	0.99212
8	7	1

9	0	0.0952564
9	1	0.0952564
9	2	0.366511
9	3	0.475052
9	4	0.74744
9	5	0.876068
9	6	0.965653
9	7	0.993567
9	8	1

10	0	0.0763764
10	1	0.0763764
10	2	0.315401
10	3	0.403081
10	4	0.668087
10	5	0.806482
10	6	0.933164
10	7	0.980029
10	8	0.996646
10	9	1

11	0	0.0519082
11	1	0.0519082
11	2	0.24129
11	3	0.320434
11	4	0.577572
11	5	0.726166
11	6	0.883763
11	7	0.955544
11	8	0.989456
11	9	0.998277
11	10	1

12	0	0.0407914
12	1	0.0407914
12	2	0.201233
12	3	0.265241
12	4	0.5056
12	5	0.650092
12	6	0.827823
12	7	0.920775
12	8	0.975146
12	9	0.993949
12	10	0.999271
12	11	1

13	0	0.0280685
13	1	0.0280685
13	2	0.152514
13	3	0.206411
13	4	0.423711
13	5	0.564791
13	6	0.757698
13	7	0.873156
13	8	0.952014
13	9	0.984959
13	10	0.996847
13	11	0.999592
13	12	1

14	0	0.0216457
14	1	0.0216457
14	2	0.124636
14	3	0.168197
14	4	0.36368
14	5	0.492881
14	6	0.690614
14	7	0.819118
14	8	0.919858
14	9	0.969483
14	10	0.991608
14	11	0.998298
14	12	0.999786
14	13	1

