size	value	prob









11	0	1

12	0	1

13	0	1

14	0	1

15	0	0.999089
15	1	1

16	0	0.998917
16	1	1

17	0	0.99819
17	1	0.999995
17	2	1

18	0	0.997925
18	1	0.999993
18	2	1

19	0	0.996932
19	1	0.999981
19	2	1

20	0	0.996502
20	1	0.999977
20	2	1

21	0	0.99529
21	1	0.999952
21	2	0.999999
21	3	1

22	0	0.9947
22	1	0.999945
22	2	1

23	0	0.993208
23	1	0.9999
23	2	0.999997
23	3	1

24	0	0.992466
24	1	0.999882
24	2	0.999997
24	3	1

25	0	0.990761
25	1	0.999815
25	2	0.999994
25	3	1

26	0	0.989854
26	1	0.999786
26	2	0.999994
26	3	1

27	0	0.987918
27	1	0.999687
27	2	0.999989
27	3	1

28	0	0.986836
28	1	0.999642
28	2	0.999986
28	3	1
28	4	1

29	0	0.984676
29	1	0.999506
29	2	0.999977
29	3	1

30	0	0.983373
30	1	0.999441
30	2	0.999975
30	3	1

31	0	0.981013
31	1	0.999266
31	2	0.999962
31	3	0.999999
31	4	1

32	0	0.979567
32	1	0.999171
32	2	0.999956
32	3	0.999998
32	4	1

33	0	0.977002
33	1	0.998948
33	2	0.999938
33	3	0.999998
33	4	1

34	0	0.975397
34	1	0.998819
34	2	0.999931
34	3	0.999997
34	4	1

35	0	0.972676
35	1	0.998551
35	2	0.999904
35	3	0.999995
35	4	1

36	0	0.970845
36	1	0.998389
36	2	0.999889
36	3	0.999994
36	4	1
36	5	1

37	0	0.967892
37	1	0.998047
37	2	0.999854
37	3	0.999992
37	4	1
37	5	1

38	0	0.965966
38	1	0.997861
38	2	0.99984
38	3	0.999991
38	4	1
38	5	1

