n	value	freq	max_freq	sample










11	0	99988991	99988991	99988991

12	0	99987492	99987492	99987492

13	0	99964129	99964129	99964129

14	0	99958654	99958654	99958654

15	0	99908770	99908770	99999919
15	1	91149	99908770	99999919

16	0	99891569	99891569	99999903
16	1	108334	99891569	99999903

17	0	99818950	99818950	99999999
17	1	180503	99818950	99999999
17	2	546	99818950	99999999

18	0	99792513	99792513	99999994
18	1	206784	99792513	99999994
18	2	697	99792513	99999994

19	0	99693207	99693207	99999972
19	1	304881	99693207	99999972
19	2	1884	99693207	99999972

20	0	99650138	99650138	99999974
20	1	347524	99650138	99999974
20	2	2312	99650138	99999974

21	0	99529024	99529024	99999998
21	1	466185	99529024	99999998
21	2	4701	99529024	99999998
21	3	88	99529024	99999998

22	0	99469858	99469858	99999900
22	1	524588	99469858	99999900
22	2	5454	99469858	99999900

23	0	99320761	99320761	99999994
23	1	669266	99320761	99999994
23	2	9711	99320761	99999994
23	3	256	99320761	99999994

24	0	99246556	99246556	99999997
24	1	741638	99246556	99999997
24	2	11519	99246556	99999997
24	3	284	99246556	99999997

25	0	99076059	99076059	99999991
25	1	905445	99076059	99999991
25	2	17911	99076059	99999991
25	3	576	99076059	99999991

26	0	98985431	98985431	99999988
26	1	993192	98985431	99999988
26	2	20760	98985431	99999988
26	3	605	98985431	99999988

27	0	98791748	98791748	99999974
27	1	1176971	98791748	99999974
27	2	30127	98791748	99999974
27	3	1128	98791748	99999974

28	0	98683627	98683627	99999998
28	1	1280523	98683627	99999998
28	2	34415	98683627	99999998
28	3	1401	98683627	99999998
28	4	32	98683627	99999998

29	0	98467537	98467537	99999941
29	1	1482986	98467537	99999941
29	2	47168	98467537	99999941
29	3	2250	98467537	99999941

30	0	98337182	98337182	99999929
30	1	1606820	98337182	99999929
30	2	53432	98337182	99999929
30	3	2495	98337182	99999929

31	0	98101329	98101329	99999999
31	1	1825265	98101329	99999999
31	2	69612	98101329	99999999
31	3	3663	98101329	99999999
31	4	130	98101329	99999999

32	0	97956723	97956723	99999989
32	1	1960406	97956723	99999989
32	2	78437	97956723	99999989
32	3	4259	97956723	99999989
32	4	164	97956723	99999989

33	0	97700221	97700221	99999995
33	1	2194564	97700221	99999995
33	2	99044	97700221	99999995
33	3	5930	97700221	99999995
33	4	236	97700221	99999995

34	0	97539653	97539653	99999988
34	1	2342232	97539653	99999988
34	2	111166	97539653	99999988
34	3	6628	97539653	99999988
34	4	309	97539653	99999988

35	0	97267547	97267547	99999977
35	1	2587507	97267547	99999977
35	2	135316	97267547	99999977
35	3	9157	97267547	99999977
35	4	450	97267547	99999977

36	0	97084535	97084535	99999999
36	1	2754330	97084535	99999999
36	2	150049	97084535	99999999
36	3	10468	97084535	99999999
36	4	591	97084535	99999999
36	5	26	97084535	99999999

37	0	96789211	96789211	99999999
37	1	3015535	96789211	99999999
37	2	180696	96789211	99999999
37	3	13781	96789211	99999999
37	4	745	96789211	99999999
37	5	31	96789211	99999999

38	0	96596592	96596592	99999999
38	1	3189514	96596592	99999999
38	2	197906	96596592	99999999
38	3	15104	96596592	99999999
38	4	847	96596592	99999999
38	5	36	96596592	99999999

