n	avg	p25	p75
1	-nan	0.5	0.5
2	-nan	0.5	0.5
3	-nan	0.5	0.5
4	-nan	0.5	0.5
5	-nan	0.5	0.5
6	-nan	0.5	0.5
7	-nan	0.5	0.5
8	-nan	0.5	0.5
9	-nan	0.5	0.5
10	-nan	0.5	0.5
11	0	0	0
12	0	0	0
13	0	0	0
14	0	0	0
15	0.001823	0	0
16	0.00216672	0	0
17	0.00362632	0	0
18	0.00415635	0	0
19	0.00615355	0	0
20	0.00701857	0	0
21	0.009466	0	0
22	0.0106517	0	0
23	0.0136805	0	0
24	0.0151814	0	0
25	0.0186555	0	0
26	0.0204924	0	0
27	0.0244621	0	0
28	0.026668	0	0
29	0.0311195	0	0
30	0.0337826	0	0
31	0.0386722	0	0
32	0.0416483	0	0
33	0.0469986	0	0
34	0.0503231	0	0
35	0.0560285	0	0
36	0.0598391	0	0
37	0.0660811	0	0
38	0.0700965	0	0
