size	value	prob









11	0	1
11	1	1

12	0	1
12	1	1

13	0	1
13	1	1

14	0	1
14	1	1

15	0	0.999088
15	1	0.999088
15	2	1

16	0	0.998917
16	1	0.998917
16	2	1

17	0	0.99819
17	1	0.99819
17	2	0.999995
17	3	1

18	0	0.997925
18	1	0.997925
18	2	0.999993
18	3	1

19	0	0.996932
19	1	0.996932
19	2	0.999982
19	3	1

20	0	0.996502
20	1	0.996502
20	2	0.999978
20	3	1

21	0	0.99529
21	1	0.99529
21	2	0.999954
21	3	0.999999
21	4	1

22	0	0.9947
22	1	0.9947
22	2	0.999949
22	3	1

23	0	0.993208
23	1	0.993208
23	2	0.999907
23	3	0.999997
23	4	1

24	0	0.992466
24	1	0.992466
24	2	0.99989
24	3	0.999997
24	4	1

25	0	0.990761
25	1	0.990761
25	2	0.999829
25	3	0.999994
25	4	1

26	0	0.989854
26	1	0.989854
26	2	0.999804
26	3	0.999994
26	4	1

27	0	0.987918
27	1	0.987918
27	2	0.999713
27	3	0.999989
27	4	1

28	0	0.986836
28	1	0.986836
28	2	0.999673
28	3	0.999986
28	4	1
28	5	1

29	0	0.984676
29	1	0.984676
29	2	0.99955
29	3	0.999979
29	4	1

30	0	0.983372
30	1	0.983372
30	2	0.999496
30	3	0.999977
30	4	1

31	0	0.981013
31	1	0.981013
31	2	0.999338
31	3	0.999965
31	4	0.999999
31	5	1

32	0	0.979567
32	1	0.979567
32	2	0.999259
32	3	0.99996
32	4	0.999999
32	5	1

33	0	0.977002
33	1	0.977002
33	2	0.999056
33	3	0.999943
33	4	0.999998
33	5	1

34	0	0.975397
34	1	0.975397
34	2	0.99895
34	3	0.999937
34	4	0.999997
34	5	1

35	0	0.972676
35	1	0.972676
35	2	0.99871
35	3	0.999914
35	4	0.999996
35	5	1

36	0	0.970845
36	1	0.970845
36	2	0.998574
36	3	0.999901
36	4	0.999995
36	5	1
36	6	1

37	0	0.967892
37	1	0.967892
37	2	0.998272
37	3	0.99987
37	4	0.999993
37	5	1
37	6	1

38	0	0.965966
38	1	0.965966
38	2	0.998119
38	3	0.999859
38	4	0.999993
38	5	1

