n	value	freq	max_freq	sample
1	0	100000000	100000000	100000000

2	0	100000000	100000000	100000000

3	0	100000000	100000000	100000000

4	0	100000000	100000000	100000000

5	0	100000000	100000000	100000000

6	0	100000000	100000000	100000000

7	0	100000000	100000000	100000000

8	0	100000000	100000000	100000000

9	0	100000000	100000000	100000000

10	0	100000000	100000000	100000000

11	0	99989221	99989221	100000000
11	1	0	99989221	100000000
11	2	10779	99989221	100000000

12	0	99987356	99987356	100000000
12	1	0	99987356	100000000
12	2	12644	99987356	100000000

13	0	99964196	99964196	100000000
13	1	0	99964196	100000000
13	2	35804	99964196	100000000

14	0	99958861	99958861	100000000
14	1	0	99958861	100000000
14	2	41139	99958861	100000000

15	0	99908490	99908490	100000000
15	1	0	99908490	100000000
15	2	91426	99908490	100000000
15	3	82	99908490	100000000
15	4	2	99908490	100000000

16	0	99891412	99891412	100000000
16	1	0	99891412	100000000
16	2	108504	99891412	100000000
16	3	83	99891412	100000000
16	4	1	99891412	100000000

17	0	99819562	99819562	100000000
17	1	0	99819562	100000000
17	2	179867	99819562	100000000
17	3	552	99819562	100000000
17	4	19	99819562	100000000

18	0	99792628	99792628	100000000
18	1	0	99792628	100000000
18	2	206650	99792628	100000000
18	3	683	99792628	100000000
18	4	39	99792628	100000000

19	0	99694228	99694228	100000000
19	1	0	99694228	100000000
19	2	303813	99694228	100000000
19	3	1867	99694228	100000000
19	4	92	99694228	100000000

20	0	99651316	99651316	100000000
20	1	0	99651316	100000000
20	2	346492	99651316	100000000
20	3	2050	99651316	100000000
20	4	142	99651316	100000000

21	0	99527893	99527893	100000000
21	1	0	99527893	100000000
21	2	467360	99527893	100000000
21	3	4419	99527893	100000000
21	4	327	99527893	100000000
21	5	1	99527893	100000000

22	0	99470245	99470245	100000000
22	1	0	99470245	100000000
22	2	524255	99470245	100000000
22	3	5047	99470245	100000000
22	4	450	99470245	100000000
22	5	3	99470245	100000000

23	0	99323070	99323070	100000000
23	1	0	99323070	100000000
23	2	666943	99323070	100000000
23	3	9117	99323070	100000000
23	4	862	99323070	100000000
23	5	7	99323070	100000000
23	6	1	99323070	100000000

24	0	99247543	99247543	100000000
24	1	0	99247543	100000000
24	2	740861	99247543	100000000
24	3	10394	99247543	100000000
24	4	1182	99247543	100000000
24	5	20	99247543	100000000

25	0	99077877	99077877	100000000
25	1	0	99077877	100000000
25	2	903586	99077877	100000000
25	3	16674	99077877	100000000
25	4	1825	99077877	100000000
25	5	36	99077877	100000000
25	6	2	99077877	100000000

