size	value	prob









11	0	1
11	1	1

12	0	1
12	1	1

13	0	1
13	1	1

14	0	1
14	1	1

15	0	0.999088
15	1	0.999088
15	2	0.999999
15	3	1

16	0	0.998916
16	1	0.998916
16	2	0.999999
16	3	1

17	0	0.99819
17	1	0.99819
17	2	0.999995
17	3	1

18	0	0.997925
18	1	0.997925
18	2	0.999993
18	3	1

19	0	0.996933
19	1	0.996933
19	2	0.999982
19	3	1

20	0	0.996503
20	1	0.996503
20	2	0.999978
20	3	1

21	0	0.99529
21	1	0.99529
21	2	0.999952
21	3	0.999997
21	4	1

22	0	0.994703
22	1	0.994703
22	2	0.999949
22	3	1

23	0	0.993208
23	1	0.993208
23	2	0.9999
23	3	0.999991
23	4	1

24	0	0.992466
24	1	0.992466
24	2	0.999882
24	3	0.999989
24	4	1

25	0	0.990761
25	1	0.990761
25	2	0.999815
25	3	0.999981
25	4	1
25	5	1

26	0	0.989854
26	1	0.989854
26	2	0.999786
26	3	0.999976
26	4	1
26	5	1

27	0	0.987918
27	1	0.987918
27	2	0.999687
27	3	0.999963
27	4	0.999999
27	5	1

28	0	0.986836
28	1	0.986836
28	2	0.999642
28	3	0.999954
28	4	0.999999
28	5	1

29	0	0.984675
29	1	0.984675
29	2	0.999505
29	3	0.999933
29	4	0.999998
29	5	1

30	0	0.983372
30	1	0.983372
30	2	0.99944
30	3	0.999919
30	4	0.999998
30	5	1

31	0	0.981013
31	1	0.981013
31	2	0.999266
31	3	0.999891
31	4	0.999996
31	5	1

32	0	0.979567
32	1	0.979567
32	2	0.999171
32	3	0.999868
32	4	0.999994
32	5	1
32	6	1

33	0	0.977002
33	1	0.977002
33	2	0.998948
33	3	0.999831
33	4	0.999993
33	5	1
33	6	1

34	0	0.975397
34	1	0.975397
34	2	0.998819
34	3	0.9998
34	4	0.999991
34	5	0.999999
34	6	1

35	0	0.972675
35	1	0.972675
35	2	0.998551
35	3	0.999745
35	4	0.999986
35	5	0.999999
35	6	1

36	0	0.970845
36	1	0.970845
36	2	0.998389
36	3	0.999704
36	4	0.999982
36	5	0.999999
36	6	1

37	0	0.967892
37	1	0.967892
37	2	0.998048
37	3	0.999631
37	4	0.999977
37	5	0.999998
37	6	1

38	0	0.965966
38	1	0.965966
38	2	0.997861
38	3	0.999583
38	4	0.999973
38	5	0.999998
38	6	1
38	7	1

