n	value	freq	max_freq	sample










11	0	99988991	99988991	99988991
11	1	0	99988991	99988991

12	0	99987492	99987492	99987492
12	1	0	99987492	99987492

13	0	99964129	99964129	99964129
13	1	0	99964129	99964129

14	0	99958654	99958654	99958654
14	1	0	99958654	99958654

15	0	99908770	99908770	99999999
15	1	0	99908770	99999999
15	2	91149	99908770	99999999
15	3	80	99908770	99999999

16	0	99891569	99891569	99999998
16	1	0	99891569	99999998
16	2	108334	99891569	99999998
16	3	95	99891569	99999998

17	0	99818950	99818950	99999987
17	1	0	99818950	99999987
17	2	180503	99818950	99999987
17	3	534	99818950	99999987

18	0	99792513	99792513	99999970
18	1	0	99792513	99999970
18	2	206784	99792513	99999970
18	3	673	99792513	99999970

19	0	99693207	99693207	99999913
19	1	0	99693207	99999913
19	2	304881	99693207	99999913
19	3	1825	99693207	99999913

20	0	99650138	99650138	99999847
20	1	0	99650138	99999847
20	2	347524	99650138	99999847
20	3	2185	99650138	99999847

21	0	99529024	99529024	99999997
21	1	0	99529024	99999997
21	2	466185	99529024	99999997
21	3	4477	99529024	99999997
21	4	311	99529024	99999997

22	0	99469858	99469858	99999527
22	1	0	99469858	99999527
22	2	524588	99469858	99999527
22	3	5081	99469858	99999527

23	0	99320761	99320761	99999989
23	1	0	99320761	99999989
23	2	669266	99320761	99999989
23	3	9080	99320761	99999989
23	4	882	99320761	99999989

24	0	99246556	99246556	99999985
24	1	0	99246556	99999985
24	2	741638	99246556	99999985
24	3	10701	99246556	99999985
24	4	1090	99246556	99999985

25	0	99076059	99076059	99999999
25	1	0	99076059	99999999
25	2	905445	99076059	99999999
25	3	16555	99076059	99999999
25	4	1909	99076059	99999999
25	5	31	99076059	99999999

26	0	98985431	98985431	99999999
26	1	0	98985431	99999999
26	2	993192	98985431	99999999
26	3	18951	98985431	99999999
26	4	2382	98985431	99999999
26	5	43	98985431	99999999

27	0	98791748	98791748	99999996
27	1	0	98791748	99999996
27	2	1176971	98791748	99999996
27	3	27558	98791748	99999996
27	4	3640	98791748	99999996
27	5	79	98791748	99999996

28	0	98683627	98683627	99999991
28	1	0	98683627	99999991
28	2	1280523	98683627	99999991
28	3	31246	98683627	99999991
28	4	4487	98683627	99999991
28	5	108	98683627	99999991

29	0	98467537	98467537	99999989
29	1	0	98467537	99999989
29	2	1482986	98467537	99999989
29	3	42783	98467537	99999989
29	4	6473	98467537	99999989
29	5	210	98467537	99999989

30	0	98337182	98337182	99999986
30	1	0	98337182	99999986
30	2	1606820	98337182	99999986
30	3	47928	98337182	99999986
30	4	7809	98337182	99999986
30	5	247	98337182	99999986

31	0	98101329	98101329	99999982
31	1	0	98101329	99999982
31	2	1825265	98101329	99999982
31	3	62452	98101329	99999982
31	4	10552	98101329	99999982
31	5	384	98101329	99999982

32	0	97956723	97956723	99999998
32	1	0	97956723	99999998
32	2	1960406	97956723	99999998
32	3	69708	97956723	99999998
32	4	12595	97956723	99999998
32	5	532	97956723	99999998
32	6	34	97956723	99999998

33	0	97700221	97700221	99999998
33	1	0	97700221	99999998
33	2	2194564	97700221	99999998
33	3	88271	97700221	99999998
33	4	16218	97700221	99999998
33	5	683	97700221	99999998
33	6	41	97700221	99999998

34	0	97539653	97539653	99999999
34	1	0	97539653	99999999
34	2	2342232	97539653	99999999
34	3	98123	97539653	99999999
34	4	19049	97539653	99999999
34	5	884	97539653	99999999
34	6	58	97539653	99999999

35	0	97267547	97267547	99999998
35	1	0	97267547	99999998
35	2	2587507	97267547	99999998
35	3	119398	97267547	99999998
35	4	24106	97267547	99999998
35	5	1324	97267547	99999998
35	6	116	97267547	99999998

36	0	97084535	97084535	99999990
36	1	0	97084535	99999990
36	2	2754330	97084535	99999990
36	3	131534	97084535	99999990
36	4	27780	97084535	99999990
36	5	1665	97084535	99999990
36	6	146	97084535	99999990

37	0	96789211	96789211	99999989
37	1	0	96789211	99999989
37	2	3015535	96789211	99999989
37	3	158328	96789211	99999989
37	4	34622	96789211	99999989
37	5	2117	96789211	99999989
37	6	176	96789211	99999989

38	0	96596592	96596592	99999999
38	1	0	96596592	99999999
38	2	3189514	96596592	99999999
38	3	172222	96596592	99999999
38	4	38938	96596592	99999999
38	5	2492	96596592	99999999
38	6	229	96596592	99999999
38	7	12	96596592	99999999

