n	avg	p25	p75
1	-nan	0.5	0.5
2	-nan	0.5	0.5
3	-nan	0.5	0.5
4	-nan	0.5	0.5
5	-nan	0.5	0.5
6	-nan	0.5	0.5
7	-nan	0.5	0.5
8	-nan	0.5	0.5
9	-nan	0.5	0.5
10	-nan	0.5	0.5
11	0	0	0
12	0	0	0
13	0	0	0
14	0	0	0
15	0.00091229	0	0
16	0.00108429	0	0
17	0.00181038	0	0
18	0.00207463	0	0
19	0.00306734	0	0
20	0.00349735	0	0
21	0.00470752	0	0
22	0.00529771	0	0
23	0.00678607	0	0
24	0.0075262	0	0
25	0.00925318	0	0
26	0.0101641	0	0
27	0.0121087	0	0
28	0.0131963	0	0
29	0.0153701	0	0
30	0.0166851	0	0
31	0.019061	0	0
32	0.020524	0	0
33	0.0231102	0	0
34	0.0247401	0	0
35	0.0274933	0	0
36	0.0293518	0	0
37	0.0323467	0	0
38	0.0343091	0	0
