size	value	prob









11	0	1

12	0	1

13	0	1

14	0	1

15	0	0.999088
15	1	1

16	0	0.998916
16	1	1

17	0	0.99819
17	1	1

18	0	0.997925
18	1	1

19	0	0.996933
19	1	1

20	0	0.996503
20	1	1

21	0	0.995292
21	1	1

22	0	0.994702
22	1	1

23	0	0.993214
23	1	1

24	0	0.992474
24	1	1

25	0	0.990761
25	1	0.999986
25	2	1

26	0	0.989854
26	1	0.999982
26	2	1

27	0	0.987918
27	1	0.999974
27	2	1

28	0	0.986836
28	1	0.999967
28	2	1

29	0	0.984675
29	1	0.999955
29	2	1

30	0	0.983372
30	1	0.999943
30	2	1

31	0	0.981013
31	1	0.999926
31	2	1

32	0	0.979567
32	1	0.999909
32	2	1

33	0	0.977002
33	1	0.999887
33	2	1

34	0	0.975397
34	1	0.999863
34	2	1

35	0	0.972676
35	1	0.999831
35	2	1

36	0	0.970846
36	1	0.999802
36	2	1

37	0	0.967893
37	1	0.999761
37	2	1

38	0	0.965967
38	1	0.999724
38	2	1

