n	value	freq	max_freq	sample










11	0	99988991	99988991	99988991

12	0	99987492	99987492	99987492

13	0	99964129	99964129	99964129

14	0	99958654	99958654	99958654

15	0	99908770	99908770	99999999
15	1	91229	99908770	99999999

16	0	99891569	99891569	99999998
16	1	108429	99891569	99999998

17	0	99818950	99818950	99999988
17	1	181038	99818950	99999988

18	0	99792513	99792513	99999976
18	1	207463	99792513	99999976

19	0	99693207	99693207	99999941
19	1	306734	99693207	99999941

20	0	99650138	99650138	99999873
20	1	349735	99650138	99999873

21	0	99529024	99529024	99999775
21	1	470751	99529024	99999775

22	0	99469858	99469858	99999627
22	1	529769	99469858	99999627

23	0	99320761	99320761	99999364
23	1	678603	99320761	99999364

24	0	99246556	99246556	99999170
24	1	752614	99246556	99999170

25	0	99076059	99076059	99999999
25	1	922562	99076059	99999999
25	2	1378	99076059	99999999

26	0	98985431	98985431	99999999
26	1	1012728	98985431	99999999
26	2	1840	98985431	99999999

27	0	98791748	98791748	99999997
27	1	1205625	98791748	99999997
27	2	2624	98791748	99999997

28	0	98683627	98683627	99999999
28	1	1313115	98683627	99999999
28	2	3257	98683627	99999999

29	0	98467537	98467537	99999995
29	1	1527910	98467537	99999995
29	2	4548	98467537	99999995

30	0	98337182	98337182	99999996
30	1	1657114	98337182	99999996
30	2	5700	98337182	99999996

31	0	98101329	98101329	99999994
31	1	1891229	98101329	99999994
31	2	7436	98101329	99999994

32	0	97956723	97956723	99999992
32	1	2034136	97956723	99999992
32	2	9133	97956723	99999992

33	0	97700221	97700221	99999981
33	1	2288500	97700221	99999981
33	2	11260	97700221	99999981

34	0	97539653	97539653	99999984
34	1	2446650	97539653	99999984
34	2	13681	97539653	99999984

35	0	97267547	97267547	99999965
35	1	2715504	97267547	99999965
35	2	16914	97267547	99999965

36	0	97084535	97084535	99999952
36	1	2895657	97084535	99999952
36	2	19760	97084535	99999952

37	0	96789211	96789211	99999940
37	1	3186789	96789211	99999940
37	2	23940	96789211	99999940

38	0	96596592	96596592	99999916
38	1	3375740	96596592	99999916
38	2	27584	96596592	99999916

