n	avg	p25	p75
1	-nan	0.5	0.5
2	-nan	0.5	0.5
3	0	0	0
4	1.3031	1	2
5	1.50397	1	2
6	2.67487	2	3
7	3.25242	2	4
8	4.35857	3	5
9	5.23423	4	6
10	6.45844	5	8
11	7.57251	6	9
12	8.97851	7	11
13	10.3091	8	12
14	11.9165	10	14
15	13.4609	11	16
16	15.2717	13	18
17	17.0272	14	20
18	19.0456	16	22
19	21.0104	18	24
20	23.2355	20	27
21	25.4118	22	29
22	27.8429	24	32
23	30.2305	26	34
24	32.8683	28	37
25	35.4631	31	40
26	38.3104	33	43
27	41.1143	36	46
28	44.1701	38	50
29	47.1822	41	53
30	50.4464	44	56
31	53.6683	47	60
32	57.1392	50	64
33	60.57	53	67
34	64.2496	57	71
35	67.8885	60	75
36	71.7777	64	80
37	75.6239	67	84
38	79.7193	71	88
