size	value	prob

3	0	1

4	0	0.151426
4	1	0.545471
4	2	1

5	0	0.100809
5	1	0.395221
5	2	1

6	0	0.024221
6	1	0.116394
6	2	0.457494
6	3	0.783536
6	4	0.943484
6	5	1

7	0	0.0119639
7	1	0.05975
7	2	0.269698
7	3	0.57151
7	4	0.834659
7	5	1

8	0	0.00354002
8	1	0.0198627
8	2	0.111898
8	3	0.293057
8	4	0.542035
8	5	0.781619
8	6	0.916309
8	7	0.976969
8	8	0.99614
8	9	1

9	0	0.00160976
9	1	0.00906276
9	2	0.0502295
9	3	0.153708
9	4	0.337133
9	5	0.56888
9	6	0.770706
9	7	0.900981
9	8	0.973461
9	9	1

10	0	0.00044703
10	1	0.00280648
10	2	0.0172849
10	3	0.062537
10	4	0.164472
10	5	0.329905
10	6	0.524882
10	7	0.702617
10	8	0.842071
10	9	0.93019
10	10	0.974034
10	11	0.991993
10	12	0.998467
10	13	0.99986
10	14	1

11	0	0.000188516
11	1	0.00119665
11	2	0.00683591
11	3	0.0268472
11	4	0.0791061
11	5	0.179924
11	6	0.3269
11	7	0.497805
11	8	0.666365
11	9	0.805048
11	10	0.900563
11	11	0.955967
11	12	0.984322
11	13	0.996422
11	14	1

12	0	4.93302e-05
12	1	0.000341681
12	2	0.00206598
12	3	0.00908802
12	4	0.0305777
12	5	0.0798858
12	6	0.166798
12	7	0.290728
12	8	0.440913
12	9	0.59543
12	10	0.731939
12	11	0.836851
12	12	0.91004
12	13	0.9559
12	14	0.980936
12	15	0.992817
12	16	0.997757
12	17	0.99945
12	18	0.999922
12	19	1

13	0	2.01215e-05
13	1	0.00013846
13	2	0.000781769
13	3	0.00346528
13	4	0.0123872
13	5	0.0352739
13	6	0.0816268
13	7	0.158644
13	8	0.267779
13	9	0.400608
13	10	0.541242
13	11	0.672592
13	12	0.783385
13	13	0.868386
13	14	0.926992
13	15	0.963216
13	16	0.983383
13	17	0.993463
13	18	0.997926
13	19	0.999557
13	20	1

14	0	5.14e-06
14	1	3.64e-05
14	2	0.00021133
14	3	0.00102284
14	4	0.00403407
14	5	0.0127556
14	6	0.0330565
14	7	0.0719749
14	8	0.135901
14	9	0.226642
14	10	0.33935
14	11	0.463766
14	12	0.588108
14	13	0.701842
14	14	0.797082
14	15	0.870146
14	16	0.921965
14	17	0.956182
14	18	0.977268
14	19	0.989232
14	20	0.995407
14	21	0.998255
14	22	0.999427
14	23	0.999851
14	24	0.999971
14	25	0.999997
14	26	1

