n	value	freq	max_freq	sample


3	0	24998221	24998221	24998221

4	0	13881182	41666668	91669973
4	1	36122123	41666668	91669973
4	2	41666668	41666668	91669973

5	0	7639351	45830392	75780428
5	1	22310685	45830392	75780428
5	2	45830392	45830392	75780428

6	0	2418166	34054708	99837713
6	1	9202300	34054708	99837713
6	2	34054708	34054708	99837713
6	3	32551256	34054708	99837713
6	4	15968845	34054708	99837713
6	5	5642438	34054708	99837713

7	0	1150620	29026621	96174240
7	1	4595792	29026621	96174240
7	2	20191552	29026621	96174240
7	3	29026621	29026621	96174240
7	4	25308068	29026621	96174240
7	5	15901587	29026621	96174240

8	0	353990	24896929	99996640
8	1	1632217	24896929	99996640
8	2	9203179	24896929	99996640
8	3	18115367	24896929	99996640
8	4	24896929	24896929	99996640
8	5	23957603	24896929	99996640
8	6	13468523	24896929	99996640
8	7	6065791	24896929	99996640
8	8	1917032	24896929	99996640
8	9	386009	24896929	99996640

9	0	160108	23049775	99460990
9	1	741283	23049775	99460990
9	2	4094480	23049775	99460990
9	3	10292036	23049775	99460990
9	4	18243714	23049775	99460990
9	5	23049775	23049775	99460990
9	6	20073800	23049775	99460990
9	7	12957266	23049775	99460990
9	8	7208963	23049775	99460990
9	9	2639565	23049775	99460990

10	0	44703	19497692	99999977
10	1	235945	19497692	99999977
10	2	1447842	19497692	99999977
10	3	4525205	19497692	99999977
10	4	10193509	19497692	99999977
10	5	16543251	19497692	99999977
10	6	19497692	19497692	99999977
10	7	17773585	19497692	99999977
10	8	13945299	19497692	99999977
10	9	8811903	19497692	99999977
10	10	4384406	19497692	99999977
10	11	1795972	19497692	99999977
10	12	647319	19497692	99999977
10	13	139324	19497692	99999977
10	14	14022	19497692	99999977

11	0	18839	17079082	99932949
11	1	100746	17079082	99932949
11	2	563548	17079082	99932949
11	3	1999786	17079082	99932949
11	4	5222388	17079082	99932949
11	5	10075029	17079082	99932949
11	6	14687745	17079082	99932949
11	7	17079082	17079082	99932949
11	8	16844667	17079082	99932949
11	9	13859013	17079082	99932949
11	10	9545067	17079082	99932949
11	11	5536644	17079082	99932949
11	12	2833683	17079082	99932949
11	13	1209119	17079082	99932949
11	14	357593	17079082	99932949

12	0	4933	15451624	99999620
12	1	29235	15451624	99999620
12	2	172429	15451624	99999620
12	3	702202	15451624	99999620
12	4	2148955	15451624	99999620
12	5	4930799	15451624	99999620
12	6	8691200	15451624	99999620
12	7	12392917	15451624	99999620
12	8	15018503	15451624	99999620
12	9	15451624	15451624	99999620
12	10	13650867	15451624	99999620
12	11	10491110	15451624	99999620
12	12	7318855	15451624	99999620
12	13	4585966	15451624	99999620
12	14	2503649	15451624	99999620
12	15	1188046	15451624	99999620
12	16	494020	15451624	99999620
12	17	169282	15451624	99999620
12	18	47261	15451624	99999620
12	19	7767	15451624	99999620

13	0	2012	14062389	99992490
13	1	11833	14062389	99992490
13	2	64326	14062389	99992490
13	3	268331	14062389	99992490
13	4	892123	14062389	99992490
13	5	2288505	14062389	99992490
13	6	4634939	14062389	99992490
13	7	7701139	14062389	99992490
13	8	10912665	14062389	99992490
13	9	13281877	14062389	99992490
13	10	14062389	14062389	99992490
13	11	13133968	14062389	99992490
13	12	11078491	14062389	99992490
13	13	8499447	14062389	99992490
13	14	5860145	14062389	99992490
13	15	3622179	14062389	99992490
13	16	2016552	14062389	99992490
13	17	1007931	14062389	99992490
13	18	446221	14062389	99992490
13	19	163131	14062389	99992490
13	20	44286	14062389	99992490

14	0	514	12441578	99999991
14	1	3126	12441578	99999991
14	2	17493	12441578	99999991
14	3	81151	12441578	99999991
14	4	301123	12441578	99999991
14	5	872154	12441578	99999991
14	6	2030092	12441578	99999991
14	7	3891839	12441578	99999991
14	8	6392607	12441578	99999991
14	9	9074056	12441578	99999991
14	10	11270843	12441578	99999991
14	11	12441578	12441578	99999991
14	12	12434263	12441578	99999991
14	13	11373381	12441578	99999991
14	14	9523928	12441578	99999991
14	15	7306422	12441578	99999991
14	16	5181956	12441578	99999991
14	17	3421711	12441578	99999991
14	18	2108581	12441578	99999991
14	19	1196422	12441578	99999991
14	20	617448	12441578	99999991
14	21	284853	12441578	99999991
14	22	117138	12441578	99999991
14	23	42413	12441578	99999991
14	24	11961	12441578	99999991
14	25	2630	12441578	99999991
14	26	308	12441578	99999991

