n	avg	p25	p75
1	-nan	0.5	0.5
2	-nan	0.5	0.5
3	0.500098	0	1
4	2.00005	1	3
5	3.42885	2	4
6	5.22409	4	6
7	7.23902	5	9
8	9.66635	8	12
9	12.3914	10	15
10	15.5233	12	18
11	18.9892	15	22
12	22.8597	19	27
13	27.0772	22	31
14	31.6983	27	37
15	36.6714	31	42
16	42.0453	36	48
17	47.7752	41	54
18	53.9007	46	61
19	60.3846	52	68
20	67.2612	59	76
21	74.4987	65	84
22	82.1256	72	92
23	90.1164	79	101
24	98.4925	87	110
25	107.234	95	119
26	116.361	104	129
27	125.851	112	139
28	135.734	121	150
29	145.975	131	161
30	156.603	141	172
31	167.597	151	184
32	178.976	162	196
33	190.725	172	209
34	202.848	184	221
35	215.344	195	235
36	228.219	207	248
37	241.47	220	263
38	255.096	233	277
39	269.087	246	292
