n	value	freq	max_freq	sample


3	0	33327924	33340973	66668897
3	1	33340973	33340973	66668897

4	1	30767856	30772178	92309254
4	2	30769220	30772178	92309254
4	3	30772178	30772178	92309254

5	0	4225070	26768876	98593342
5	1	2815884	26768876	98593342
5	2	18306842	26768876	98593342
5	3	23936706	26768876	98593342
5	4	26768876	26768876	98593342
5	5	15492968	26768876	98593342
5	6	7046996	26768876	98593342

6	0	216624	22128030	99783357
6	1	2168067	22128030	99783357
6	2	3905069	22128030	99783357
6	3	12142406	22128030	99783357
6	4	16484129	22128030	99783357
6	5	22128030	22128030	99783357
6	6	18229650	22128030	99783357
6	7	13015407	22128030	99783357
6	8	6937921	22128030	99783357
6	9	3254600	22128030	99783357
6	10	1301454	22128030	99783357

7	0	28883	15896468	99913360
7	1	348217	15896468	99913360
7	2	1450610	15896468	99913360
7	3	3450723	15896468	99913360
7	4	7921951	15896468	99913360
7	5	11808865	15896468	99913360
7	6	14973324	15896468	99913360
7	7	15896468	15896468	99913360
7	8	14128690	15896468	99913360
7	9	11454364	15896468	99913360
7	10	8330642	15896468	99913360
7	11	5338674	15896468	99913360
7	12	2955055	15896468	99913360
7	13	1361693	15896468	99913360
7	14	465201	15896468	99913360

