n	avg	p25	p75
1	-nan	0.5	0.5
2	-nan	0.5	0.5
3	0	0	0
4	0.333291	0	1
5	0.584969	0	1
6	1.2457	0	2
7	1.8588	1	3
8	2.4493	2	3
9	3.27224	2	4
10	4.01961	3	5
11	5.03873	4	6
12	5.99431	4	8
13	7.2167	5	9
14	8.38367	6	10
15	9.81269	7	12
16	11.1918	9	14
17	12.8279	10	15
18	14.417	11	17
19	16.2605	13	19
20	18.0606	14	21
21	20.1112	16	24
22	22.1219	18	26
23	24.3801	20	28
24	26.5986	22	31
25	29.0655	24	34
26	31.4948	26	36
27	34.1688	29	39
28	36.8066	31	42
29	39.6874	34	45
30	42.5335	36	49
31	45.6246	39	52
32	48.6816	42	55
33	51.9788	45	59
34	55.2411	48	62
35	58.7495	51	66
36	62.2218	54	70
37	65.9343	57	74
38	69.6167	61	78
39	73.5364	64	82
