size	value	prob

3	0	1

4	0	0.666709
4	1	1

5	0	0.415031
5	1	1

6	0	0.254339
6	1	0.574511
6	2	0.925448
6	3	1

7	0	0.114752
7	1	0.367787
7	2	0.739074
7	3	0.919583
7	4	1

8	0	0.0834121
8	1	0.240676
8	2	0.541167
8	3	0.778155
8	4	0.92717
8	5	0.98315
8	6	0.996968
8	7	1

9	0	0.0334698
9	1	0.12821
9	2	0.342366
9	3	0.576323
9	4	0.780112
9	5	0.90742
9	6	0.967172
9	7	0.992685
9	8	1

10	0	0.0234101
10	1	0.0781085
10	2	0.216139
10	3	0.411711
10	4	0.62192
10	5	0.78963
10	6	0.897175
10	7	0.958484
10	8	0.987448
10	9	0.996863
10	10	0.999504
10	11	1

11	0	0.00851209
11	1	0.0362012
11	2	0.114526
11	3	0.249435
11	4	0.427011
11	5	0.606495
11	6	0.755594
11	7	0.866218
11	8	0.937081
11	9	0.973409
11	10	0.990259
11	11	0.997077
11	12	0.999449
11	13	1

12	0	0.00574184
12	1	0.0210322
12	2	0.0647112
12	3	0.15196
12	4	0.285207
12	5	0.443586
12	6	0.60076
12	7	0.738428
12	8	0.845798
12	9	0.91661
12	10	0.959176
12	11	0.982183
12	12	0.993365
12	13	0.997892
12	14	0.999412
12	15	0.999858
12	16	0.999974
12	17	1

13	0	0.00191191
13	1	0.00869147
13	2	0.0299209
13	3	0.0779725
13	4	0.162676
13	5	0.280736
13	6	0.418901
13	7	0.561531
13	8	0.69359
13	9	0.799969
13	10	0.878437
13	11	0.931564
13	12	0.964818
13	13	0.983534
13	14	0.992939
13	15	0.997269
13	16	0.999101
13	17	0.999772
13	18	0.999964
13	19	1

14	0	0.00126043
14	1	0.00496925
14	2	0.0159169
14	3	0.0424633
14	4	0.0940682
14	5	0.174617
14	6	0.281313
14	7	0.405608
14	8	0.536255
14	9	0.658054
14	10	0.762302
14	11	0.844531
14	12	0.904831
14	13	0.945447
14	14	0.970654
14	15	0.985252
14	16	0.993184
14	17	0.997149
14	18	0.998939
14	19	0.999644
14	20	0.999899
14	21	0.999976
14	22	0.999997
14	23	1

15	0	0.00038974
15	1	0.00186604
15	2	0.00662051
15	3	0.0191512
15	4	0.0461556
15	5	0.0934669
15	6	0.164161
15	7	0.257119
15	8	0.367468
15	9	0.484844
15	10	0.599465
15	11	0.703104
15	12	0.790723
15	13	0.859693
15	14	0.91048
15	15	0.945705
15	16	0.968886
15	17	0.98323
15	18	0.99155
15	19	0.996022
15	20	0.998263
15	21	0.999297
15	22	0.999747
15	23	0.999923
15	24	0.999981
15	25	0.999997
15	26	1

16	0	0.00025731
16	1	0.00107341
16	2	0.00345941
16	3	0.00974419
16	4	0.0240477
16	5	0.0511723
16	6	0.0953514
16	7	0.159014
16	8	0.241993
16	9	0.339678
16	10	0.445733
16	11	0.552579
16	12	0.653275
16	13	0.742137
16	14	0.815963
16	15	0.873982
16	16	0.917419
16	17	0.948289
16	18	0.969136
16	19	0.982431
16	20	0.99049
16	21	0.995115
16	22	0.997643
16	23	0.998941
16	24	0.99956
16	25	0.999834
16	26	0.999943
16	27	0.999983
16	28	0.999995
16	29	0.999999
16	30	1
16	31	1

17	0	7.239e-05
17	1	0.00036671
17	2	0.00130848
17	3	0.00396731
17	4	0.0104502
17	5	0.023885
17	6	0.0478366
17	7	0.0857638
17	8	0.140086
17	9	0.210731
17	10	0.295432
17	11	0.389768
17	12	0.488201
17	13	0.584794
17	14	0.674339
17	15	0.753039
17	16	0.81918
17	17	0.872267
17	18	0.913007
17	19	0.942908
17	20	0.963906
17	21	0.978048
17	22	0.987205
17	23	0.992863
17	24	0.996215
17	25	0.998086
17	26	0.999084
17	27	0.999587
17	28	0.999828
17	29	0.999935
17	30	0.999978
17	31	0.999994
17	32	0.999998
17	33	1
17	34	1

