n	value	freq	max_freq	sample


3	0	66668897	66668897	66668897

4	0	61542000	61542000	92307165
4	1	30765165	61542000	92307165

5	0	30980935	43666416	74647351
5	1	43666416	43666416	74647351

6	0	25157595	34712365	98913550
6	1	31669344	34712365	98913550
6	2	34712365	34712365	98913550
6	3	7374246	34712365	98913550

7	0	11262375	36440080	98145384
7	1	24834222	36440080	98145384
7	2	36440080	36440080	98145384
7	3	17716115	36440080	98145384
7	4	7892592	36440080	98145384

8	0	8336566	30032331	99944343
8	1	15717652	30032331	99944343
8	2	30032331	30032331	99944343
8	3	23685614	30032331	99944343
8	4	14893224	30032331	99944343
8	5	5594929	30032331	99944343
8	6	1381004	30032331	99944343
8	7	303023	30032331	99944343

9	0	3344627	23379281	99929704
9	1	9467382	23379281	99929704
9	2	21400540	23379281	99929704
9	3	23379281	23379281	99929704
9	4	20364576	23379281	99929704
9	5	12721758	23379281	99929704
9	6	5971093	23379281	99929704
9	7	2549474	23379281	99929704
9	8	730973	23379281	99929704

10	0	2340837	21019343	99992650
10	1	5469442	21019343	99992650
10	2	13802049	21019343	99992650
10	3	19555712	21019343	99992650
10	4	21019343	21019343	99992650
10	5	16769857	21019343	99992650
10	6	10753625	21019343	99992650
10	7	6130456	21019343	99992650
10	8	2896253	21019343	99992650
10	9	941381	21019343	99992650
10	10	264058	21019343	99992650
10	11	49637	21019343	99992650

11	0	851164	17947464	99994661
11	1	2768766	17947464	99994661
11	2	7832011	17947464	99994661
11	3	13490250	17947464	99994661
11	4	17756656	17947464	99994661
11	5	17947464	17947464	99994661
11	6	14909043	17947464	99994661
11	7	11061851	17947464	99994661
11	8	7085877	17947464	99994661
11	9	3632661	17947464	99994661
11	10	1684821	17947464	99994661
11	11	681860	17947464	99994661
11	12	237179	17947464	99994661
11	13	55058	17947464	99994661

12	0	574182	15837795	99999683
12	1	1529035	15837795	99999683
12	2	4367884	15837795	99999683
12	3	8724847	15837795	99999683
12	4	13324698	15837795	99999683
12	5	15837795	15837795	99999683
12	6	15717376	15837795	99999683
12	7	13766774	15837795	99999683
12	8	10736964	15837795	99999683
12	9	7081143	15837795	99999683
12	10	4256572	15837795	99999683
12	11	2300720	15837795	99999683
12	12	1118150	15837795	99999683
12	13	452741	15837795	99999683
12	14	151986	15837795	99999683
12	15	44579	15837795	99999683
12	16	11675	15837795	99999683
12	17	2562	15837795	99999683

13	0	191190	14262994	99999583
13	1	677953	14262994	99999583
13	2	2122936	14262994	99999583
13	3	4805135	14262994	99999583
13	4	8470340	14262994	99999583
13	5	11805922	14262994	99999583
13	6	13816418	14262994	99999583
13	7	14262994	14262994	99999583
13	8	13205799	14262994	99999583
13	9	10637832	14262994	99999583
13	10	7846845	14262994	99999583
13	11	5312647	14262994	99999583
13	12	3325357	14262994	99999583
13	13	1871620	14262994	99999583
13	14	940478	14262994	99999583
13	15	433018	14262994	99999583
13	16	183240	14262994	99999583
13	17	67093	14262994	99999583
13	18	19153	14262994	99999583
13	19	3613	14262994	99999583

14	0	126043	13064720	99999954
14	1	370882	13064720	99999954
14	2	1094767	13064720	99999954
14	3	2654633	13064720	99999954
14	4	5160492	13064720	99999954
