n	avg	p25	p75
1	-nan	0.5	0.5
2	-nan	0.5	0.5
3	0	0	0
4	0.363649	0	1
5	0.588214	0	1
6	1.08921	0	2
7	1.3758	1	2
8	1.57931	1	2
9	1.86468	1	3
10	2.06252	1	3
11	2.33965	1	3
12	2.55061	2	3
13	2.82288	2	4
14	3.04217	2	4
15	3.31049	2	4
16	3.53611	3	5
17	3.80207	3	5
18	4.03132	3	5
19	4.29595	3	5
20	4.52772	3	6
21	4.79053	4	6
22	5.02492	4	6
23	5.28663	4	6
24	5.523	4	7
25	5.78353	4	7
26	6.02101	5	7
27	6.28074	5	8
28	6.51932	5	8
29	6.77807	5	8
30	7.01785	6	8
31	7.27611	6	9
32	7.51657	6	9
33	7.77509	6	9
34	8.01547	7	9
35	8.27314	7	10
36	8.51449	7	10
37	8.77151	7	10
38	9.01403	7	11
39	9.27008	8	11
