n	avg	p25	p75
1	-nan	0.5	0.5
2	-nan	0.5	0.5
3	0	0	0
4	0.363649	0	1
5	0.618167	0	1
6	1.03467	0	2
7	1.2814	1	2
8	1.45369	1	2
9	1.69178	1	2
10	1.86912	1	3
11	2.10037	1	3
12	2.28789	2	3
13	2.51554	2	3
14	2.70877	2	3
15	2.93363	2	4
16	3.13118	2	4
17	3.35442	2	4
18	3.55425	3	4
19	3.77672	3	5
20	3.97824	3	5
21	4.19957	3	5
22	4.40264	3	5
23	4.62302	4	6
24	4.8276	4	6
25	5.04728	4	6
26	5.25259	4	6
27	5.47185	4	7
28	5.67771	5	7
29	5.89612	5	7
30	6.10293	5	7
31	6.32111	5	7
32	6.52815	5	8
33	6.74648	6	8
34	6.95384	6	8
35	7.17165	6	8
36	7.37906	6	9
37	7.59672	6	9
38	7.805	6	9
39	8.02186	7	9
