n	value	freq	max_freq	sample
1	0	100000000	100000000	100000000

2	0	100000000	100000000	100000000

3	0	33342276	66657724	100000000
3	1	66657724	66657724	100000000

4	0	53847935	53847935	100000000
4	1	46152065	53847935	100000000

5	0	29574797	64791213	100000000
5	1	64791213	64791213	100000000
5	2	5633990	64791213	100000000

6	0	27989013	66153966	100000000
6	1	66153966	66153966	100000000
6	2	5857021	66153966	100000000

7	0	17782814	70901850	100000000
7	1	70901850	70901850	100000000
7	2	11315336	70901850	100000000

8	0	15370190	72325161	100000000
8	1	72325161	72325161	100000000
8	2	12304649	72325161	100000000

9	0	10237934	73161846	100000000
9	1	73161846	73161846	100000000
9	2	16161243	73161846	100000000
9	3	438977	73161846	100000000

10	0	8295074	73604269	100000000
10	1	73604269	73604269	100000000
10	2	17576451	73604269	100000000
10	3	524206	73604269	100000000

11	0	5635295	72421013	100000000
11	1	72421013	72421013	100000000
11	2	20971099	72421013	100000000
11	3	972593	72421013	100000000

12	0	4447851	71865688	100000000
12	1	71865688	71865688	100000000
12	2	22581434	71865688	100000000
12	3	1105027	71865688	100000000

13	0	3059098	69821931	100000000
13	1	69821931	69821931	100000000
13	2	25513973	69821931	100000000
13	3	1592560	69821931	100000000
13	4	12438	69821931	100000000

14	0	2365117	68681694	100000000
14	1	68681694	68681694	100000000
14	2	27153103	68681694	100000000
14	3	1784111	68681694	100000000
14	4	15975	68681694	100000000

15	0	1637889	66272391	100000000
15	1	66272391	66272391	100000000
15	2	29798689	66272391	100000000
15	3	2252666	66272391	100000000
15	4	38365	66272391	100000000

16	0	1253203	64813529	100000000
16	1	64813529	64813529	100000000
16	2	31420384	64813529	100000000
16	3	2466877	64813529	100000000
16	4	46007	64813529	100000000

17	0	871988	62345316	100000000
17	1	62345316	62345316	100000000
17	2	33772375	62345316	100000000
17	3	2934171	62345316	100000000
17	4	75841	62345316	100000000
17	5	309	62345316	100000000

18	0	661203	60749963	100000000
18	1	60749963	60749963	100000000
18	2	35330452	60749963	100000000
18	3	3169777	60749963	100000000
18	4	88231	60749963	100000000
18	5	374	60749963	100000000

